"","X","ID","scag_num_1","scag_num_2","scag_num_3","scag_num_4","scag_num_5","scag_num_6","scag_num_7","scag_num_8","scag_num_9","signal","position","lineup","condition_lineup","corr_plots"
"91",91,2046,0.193132458032055,0.60475569201646,0.00227342610777085,0.0466533055856731,0.0377358490566038,0.553319822479963,0.483405412568961,0.424436986949384,0.00386085887538366,0,11,5,"AN_2","7,8,15"
"92",92,2245,0.282854566569968,0.56280872400068,0,0.0442873844472427,0.0483091787439614,0.509146141791338,0.446440935422938,0.356190889564517,0.000906608960602824,0,12,5,"AN_2","7,8,15"
"93",93,2033,0.252355478357748,0.615145214552514,0.00622588167445998,0.0482711528749938,0.0561224489795918,0.556728985479467,0.417316109946168,0.357094162734685,0.000688697632775725,0,13,5,"AN_2","7,8,15"
"94",94,2127,0.321901979755505,0.536949516517522,0.00512370814318009,0.0415069527514402,0.0494505494505494,0.473746603486454,0.509765861872786,0.389811220735005,0.01587320196381,0,14,5,"AN_2","7,8,15"
"95",95,881,0.132583158267735,0.533212507789598,0,0.0418343366054101,0.0526315789473684,0.635311735664206,0.550623801157902,0.355396412037037,0.382985605830757,1,15,5,"AN_2","7,8,15"
"96",96,2084,0.188019304342879,0.580551521393556,0.00161858092941614,0.0450206113151363,0.0505050505050505,0.573589169229795,0.479290650388715,0.296296296296296,0.000719303774798886,0,16,5,"AN_2","7,8,15"
"97",97,2032,0.189892008142985,0.599350904239418,0.00338489661450955,0.0483034412751761,0.0656565656565657,0.558949843934906,0.539704193472498,0.384673178061608,6.54305606418404e-05,0,17,5,"AN_2","7,8,15"
"98",98,2075,0.282002794382969,0.64877091810101,0,0.0452451544103948,0.0585106382978723,0.609202095095572,0.335360287551751,0.398868848593964,0.00409825785987192,0,18,5,"AN_2","7,8,15"
"99",99,2209,0.153953852085033,0.606944186972639,0.00225091657486383,0.050950309977988,0.0518867924528302,0.471862405101913,0.378799655932865,0.355007007675735,0.0179931106119126,0,19,5,"AN_2","7,8,15"
"100",100,2224,0.18811951314819,0.6210551681377,0.0048836466850732,0.0452279214429403,0.03,0.593146958014607,0.449683783980387,0.427237754011346,0.0453665390344419,0,20,5,"AN_2","7,8,15"
"101",101,1799,0.14648170268009,0.577681605413684,0.00205867084874893,0.0549430011348345,0.0955056179775281,0.509678552486284,0.365779304601219,0.464850200189433,0.000183995552286993,0,1,6,"BN_2","5,7,10,11,15"
"102",102,1870,0.2945723654268,0.594862717231635,0.00716489681124489,0.0508411470349943,0.0491803278688525,0.531858304583552,0.541423445652029,0.404299183316523,0.00499358177666462,0,2,6,"BN_2","5,7,10,11,15"
"103",103,1753,0.333507152808221,0.554745798850939,0.00795770450409284,0.0454737043297236,0.0448717948717949,0.567898224673329,0.473007036246776,0.390766093881942,0.0444723709237369,0,3,6,"BN_2","5,7,10,11,15"
"104",104,1844,0.191742279094917,0.65001678893525,0.00958461244149157,0.0540331185285828,0.0441988950276243,0.491502715299257,0.530240674103682,0.354938820146437,0.000485264656441318,0,4,6,"BN_2","5,7,10,11,15"
"105",105,512,0.101597304626474,0.592212134026865,0.00872425734522406,0.0355590239862009,0.079646017699115,0.484275417843776,0.556339243448829,0.359399132861066,0.5821386563972,1,5,6,"BN_2","5,7,10,11,15"
"106",106,1827,0.30749018249001,0.606916385414004,0.00814410652469163,0.049924409036533,0.0440251572327044,0.59590411575031,0.384427550774183,0.368087962962963,0.000599975387749055,0,6,6,"BN_2","5,7,10,11,15"
"107",107,571,0.251719327832379,0.588354565362622,0,0.0355351828678746,0.116883116883117,0.475638114890007,0.594238689171036,0.363204445869251,0.544980839515332,1,7,6,"BN_2","5,7,10,11,15"
"108",108,1816,0.326386984365774,0.602206959891899,0.00358526706481926,0.0498224530233058,0.0548780487804878,0.651655940744653,0.352538941540451,0.348913664,0.00610821137424676,0,8,6,"BN_2","5,7,10,11,15"
"109",109,1834,0.197693141030696,0.6147588120876,0.00385770106669189,0.0542600672335906,0.04,0.545516801025427,0.472900108203585,0.403797156242295,0.00137089558124465,0,9,6,"BN_2","5,7,10,11,15"
"110",110,698,0.235849033569123,0.609301390814491,0.00639362161290297,0.0498989395633832,0.0547945205479452,0.619695214805867,0.468479773960969,0.403797156242295,0.332060009212618,1,10,6,"BN_2","5,7,10,11,15"
"111",111,633,0.11097239068253,0.525015215586486,0.0065884096142385,0.0540644784375076,0.0641711229946524,0.614191935299,0.376996736987751,0.424791176349994,0.0813524878526173,1,11,6,"BN_2","5,7,10,11,15"
"112",112,1865,0.30015990296336,0.63197860397032,0.002662268454171,0.0588168715349825,0.0730337078651685,0.539805728969327,0.489523937755029,0.443479138329004,6.3271311725581e-06,0,12,6,"BN_2","5,7,10,11,15"
"113",113,1823,0.304281008623147,0.681533653184121,0.0040634640313033,0.0444940398792365,0.0625,0.510247744370176,0.532396968792521,0.379720365738653,0.00110493969065176,0,13,6,"BN_2","5,7,10,11,15"
"114",114,1863,0.253662095328139,0.649051660423616,0.00420910360817145,0.0553655571826504,0.064327485380117,0.635503222580118,0.391992828613115,0.346377437568141,0.001217781239196,0,14,6,"BN_2","5,7,10,11,15"
"115",115,687,0.213747366412835,0.539073992933159,0.00531251629994098,0.0460294117647059,0.0134228187919463,0.517336901985039,0.429984144579151,0.346988332379129,0.463737208534702,1,15,6,"BN_2","5,7,10,11,15"
"116",116,1920,0.170880394319244,0.587070250698578,0.0042829866799654,0.0542600672335906,0.0344827586206897,0.495587765255527,0.489739171875812,0.382540059950211,6.44733624647769e-05,0,16,6,"BN_2","5,7,10,11,15"
"117",117,1771,0.147504169334842,0.573774145639355,0.00911846327483388,0.0522225940112086,0.0714285714285714,0.587308934729501,0.323580399026357,0.345376434997147,0.0134965304503978,0,17,6,"BN_2","5,7,10,11,15"
"118",118,1869,0.236198727081165,0.564601347304197,0.00141302439383532,0.0466693747154617,0.0233918128654971,0.576928109617196,0.507858254879927,0.362739083304568,0.0090741514194636,0,18,6,"BN_2","5,7,10,11,15"
"119",119,1960,0.257072907613896,0.589072402759101,0.00559966355495193,0.0475597658060825,0.0225988700564972,0.563863362568612,0.408394432540816,0.356333308950902,0.0152460578324182,0,19,6,"BN_2","5,7,10,11,15"
"120",120,1786,0.276603037512787,0.548048297879698,0.00456009360015055,0.0498309573253262,0.0674846625766871,0.560840674309755,0.520880698348442,0.382351213453728,0.0249645664767213,0,20,6,"BN_2","5,7,10,11,15"
"121",2110,21,0,0.587384269586504,0.108125586059487,0.133472110122054,0.0681818181818182,0.284131485372172,0.723966855911718,0.282623291015625,0.419641545895972,0,1,7,"A1_1","14"
"122",2210,22,0.133325499068628,0.606016434999712,0.129976351790936,0.133859267164746,0.024390243902439,0.395159878678841,0.583865660513807,0.421875,0.403488373036549,0,2,7,"A1_1","14"
"123",2310,23,0.125407468000386,0.651590617512573,0.511353516492104,0.11760137754568,0.121951219512195,0.400578599790845,0.468291769894039,0.421875,0.460449825272047,0,3,7,"A1_1","14"
"124",241,24,0,0.548339260477492,0.0654167224683943,0.118583144135421,0.0930232558139535,0.307062710280471,0.696501789681899,0.384673178061608,0.55984918567918,0,4,7,"A1_1","14"
"125",251,25,0,0.663853832563031,0.130158327447198,0.125116976662573,0.0465116279069767,0.288523459283238,0.636096226099753,0.384673178061608,0.625623731748593,0,5,7,"A1_1","14"
"126",2610,26,0,0.651487498570153,0.0799969025023669,0.126894014974002,0,0.28115658931212,0.673886723488342,0.338564710465537,0.459552334546075,0,6,7,"A1_1","14"
"127",2710,27,0,0.506439644067082,0.115480219380995,0.107651881988768,0.0930232558139535,0.231040625242181,0.630964103002407,0.434788657929154,0.536220756933756,0,7,7,"A1_1","14"
"128",2810,28,0,0.502464470093422,0.114530496243789,0.133337832311278,0.0454545454545455,0.201994279302123,0.696101950877646,0.282623291015625,0.333603003474386,0,8,7,"A1_1","14"
"129",2910,29,0,0.734065802296897,0.0911959267510769,0.151423443285461,0.0232558139534884,0.293070861787091,0.673744812170428,0.384673178061608,0.412644490916496,0,9,7,"A1_1","14"
"130",301,30,0,0.470236837927087,0.0444444444444444,0.13972664951685,0.159090909090909,0.305859509036008,0.639967857571844,0.384673178061608,0.480693037177079,0,10,7,"A1_1","14"
"131",311,31,0,0.672334257138565,0.238253299039494,0.131987540987166,0.0697674418604651,0.20884668025924,0.679355594724736,0.512,0.203385117554621,0,11,7,"A1_1","14"
"132",321,32,0,0.455393172085307,0.146043136200886,0.136669764904275,0.13953488372093,0.202380762826051,0.650193540749079,0.26853747776174,0.3568148591099,0,12,7,"A1_1","14"
"133",331,33,0,0.52419814066528,0.096100638320549,0.12805335192672,0.0454545454545455,0.238154667150692,0.647245527746775,0.397542234887034,0.48945228488321,0,13,7,"A1_1","14"
"134",341,34,0,0.470270407860744,0.0487440916521149,0.0866238641776203,0.113636363636364,0.457806795065176,0.551688861312581,0.459078717201166,0.924029757287538,1,14,7,"A1_1","14"
"135",351,35,0.0646784882601623,0.609031154003888,0.0576990083732194,0.129859183172349,0.146341463414634,0.172082899812944,0.667583469047806,0.48907810891282,0.65492292666412,0,15,7,"A1_1","14"
"136",361,36,0,0.672177994450409,0.111275508547185,0.12417084616504,0.0909090909090909,0.322513389832317,0.601764334103027,0.338564710465537,0.61230859000835,0,16,7,"A1_1","14"
"137",371,37,0.0876675973351254,0.518138063217178,0.154600569419357,0.104151404094991,0.0697674418604651,0.396592860285762,0.465089033340746,0.384673178061608,0.266386529282647,0,17,7,"A1_1","14"
"138",381,38,0,0.66751416069182,0.0880593695837385,0.132814350297918,0.119047619047619,0.245119954720559,0.53089428283689,0.48907810891282,0.533961776524043,0,18,7,"A1_1","14"
