"","ID","N","distribution","mean","sd","df"
"119",119,40,"Log-Normal",2.01375270747048,1.18321595661992,NA
"120",120,40,"Chi-Squared",7,3.74165738677394,7
"121",121,50,"Normal",0,1.73205080756888,NA
"122",122,50,"Normal",0,1.73205080756888,NA
"123",123,50,"Normal",0,1.73205080756888,NA
"124",124,50,"Normal",0,1.73205080756888,NA
"125",125,50,"T",0,1.73205080756888,3
"126",126,50,"Exponential",1.73205080756888,1.73205080756888,NA
"127",127,50,"Log-Normal",4.48168907033806,1.73205080756888,NA
"128",128,50,"Chi-Squared",3,2.44948974278318,3
"129",129,50,"Normal",0,1.4142135623731,NA
"130",130,50,"Normal",0,1.4142135623731,NA
"131",131,50,"Normal",0,1.4142135623731,NA
"132",132,50,"Normal",0,1.4142135623731,NA
"133",133,50,"T",0,1.4142135623731,4
"134",134,50,"Exponential",1.4142135623731,1.4142135623731,NA
"135",135,50,"Log-Normal",2.71828182845905,1.4142135623731,NA
"136",136,50,"Chi-Squared",4,2.82842712474619,4
"137",137,50,"Normal",0,1.29099444873581,NA
"138",138,50,"Normal",0,1.29099444873581,NA
"139",139,50,"Normal",0,1.29099444873581,NA
"140",140,50,"Normal",0,1.29099444873581,NA
"141",141,50,"T",0,1.29099444873581,5
"142",142,50,"Exponential",1.29099444873581,1.29099444873581,NA
"143",143,50,"Log-Normal",2.30097589089283,1.29099444873581,NA
"144",144,50,"Chi-Squared",5,3.16227766016838,5
"145",145,50,"Normal",0,1.22474487139159,NA
"146",146,50,"Normal",0,1.22474487139159,NA
"147",147,50,"Normal",0,1.22474487139159,NA
"148",148,50,"Normal",0,1.22474487139159,NA
"149",149,50,"T",0,1.22474487139159,6
"150",150,50,"Exponential",1.22474487139159,1.22474487139159,NA
"151",151,50,"Log-Normal",2.11700001661267,1.22474487139159,NA
"152",152,50,"Chi-Squared",6,3.46410161513775,6
"153",153,50,"Normal",0,1.18321595661992,NA
"154",154,50,"Normal",0,1.18321595661992,NA
"155",155,50,"Normal",0,1.18321595661992,NA
"156",156,50,"Normal",0,1.18321595661992,NA
"157",157,50,"T",0,1.18321595661992,7
"158",158,50,"Exponential",1.18321595661992,1.18321595661992,NA
"159",159,50,"Log-Normal",2.01375270747048,1.18321595661992,NA
"160",160,50,"Chi-Squared",7,3.74165738677394,7
"161",161,20,"Normal",0,1.73205080756888,NA
"162",162,20,"Normal",0,1.73205080756888,NA
"163",163,20,"Normal",0,1.73205080756888,NA
"164",164,20,"Normal",0,1.73205080756888,NA
"165",165,20,"T",0,1.73205080756888,3
"166",166,20,"Exponential",1.73205080756888,1.73205080756888,NA
"167",167,20,"Log-Normal",4.48168907033806,1.73205080756888,NA
"168",168,20,"Chi-Squared",3,2.44948974278318,3
"169",169,20,"Normal",0,1.4142135623731,NA
"170",170,20,"Normal",0,1.4142135623731,NA
"171",171,20,"Normal",0,1.4142135623731,NA
"172",172,20,"Normal",0,1.4142135623731,NA
"173",173,20,"T",0,1.4142135623731,4
"174",174,20,"Exponential",1.4142135623731,1.4142135623731,NA
"175",175,20,"Log-Normal",2.71828182845905,1.4142135623731,NA
"176",176,20,"Chi-Squared",4,2.82842712474619,4
