"","ID","scag_num_1","scag_num_2","scag_num_3","scag_num_4","scag_num_5","scag_num_6","scag_num_7","scag_num_8","scag_num_9","signal"
"1562",1562,0.706469968833775,0.667469068945275,0.148893360160966,0.0210450112853379,0.103896103896104,0.127229189894917,0.704224060360757,0.372157694945273,0.313453195066438,1
"1563",1563,0.432619144135548,0.65648867346191,0.0210539718978806,0.0209934513598884,0.073394495412844,0.139909408071104,0.637641902761137,0.38807734581722,0.67431909987438,1
"1564",1564,0.513447284431092,0.490688416996547,0.0361778163829735,0.0183883115048663,0.0404040404040404,0.220655638530391,0.638236854438678,0.35289362962963,0.672942858579572,1
"1565",1565,0.45061435824684,0.697643780823553,0.0668779008758631,0.0205763213427473,0.0277777777777778,0.189995510662177,0.684568923550877,0.34847330183407,0.772200928495845,1
"1566",1566,1.25940347112472,0.642964960888827,0.0719753926690517,0.0183095603442573,0.0909090909090909,0.309803100125681,0.725138971396838,0.6549241871993,0.0438226196995154,1
"1567",1567,0.97937174744332,0.665882845629986,0.153489879758083,0.0196237738470458,0.145454545454545,0.228191688506177,0.733409569883791,0.503322220135237,0.307287658278114,1
"1568",1568,0.634749232869324,0.686531817942968,0.208835341365462,0.0197156029580634,0.204545454545455,0.259012090701777,0.732010201319421,0.722786965390516,0.0196761805053683,1
"1569",1569,1.12772350982503,0.734293822290993,0.074840108998511,0.0187771137292183,0.0196078431372549,0.291661925532587,0.730804422622997,0.578703703703704,0.500317064712827,1
"1570",1570,0.535742296683068,0.583368399102625,0.0261292477106789,0.0182502739705463,0.0120481927710843,0.0875938046812654,0.681412547405263,0.558518216975371,0.733556049588928,1
"1571",1571,1.09916570794947,0.629226699417906,0.168799086240975,0.0164162267284538,0.192982456140351,0.183783783783784,0.817116057928922,1,0.00580166564641177,1
"1572",1572,0.910414199165273,0.710318638153831,0.124497991967871,0.0214024531304241,0.327272727272727,0.0401238299630223,0.811488053167395,1,0.413254589096838,1
"1573",1573,1.1591323813613,0.638881216911536,0.0410677618069815,0.0175025712396779,0.115384615384615,0.16839897260274,0.73418575419077,0.650962962962963,0.485346852733821,1
"1574",1574,0.470898892844939,0.744410124728582,0.0607637053129132,0.0238151737344072,0.0875,0.0855967768270457,0.715681243224401,0.578703703703704,0.756894349324367,1
"1575",1575,0.461518664671371,0.647808803841521,0.0416625483310586,0.0209934513598884,0.0941176470588235,0.0779453518174765,0.723465241984108,0.506454922087371,0.876298748207155,1
"1576",1576,0.582486530729105,0.611983082373326,0.0216673572615047,0.0489263499751769,0.0975609756097561,0.573161177659218,0.436325661196983,0.517840248212149,0.00931984356103493,1
"1577",1577,0.816635799062835,0.531579885584495,0.045524495096292,0.0384611896138026,0.0540540540540541,0.491532170274459,0.380060288176714,0.304450788880541,6.58182129799012e-05,1
"1578",1578,0.649894313739601,0.579235005355349,0.0402936976153916,0.0452754230782137,0.0875,0.634034126334877,0.358312738059745,0.382351213453728,0.0156078195683501,1
"1579",1579,0.671982104787946,0.611815574530654,0.0222222222222222,0.0446998876466295,0.0897435897435897,0.673893457794063,0.229606424534215,0.335579587007435,0.00423938867314421,1
"1580",1580,0.214396528822584,0.652713271412443,0.0286663817379388,0.0694037976639428,0.0340909090909091,0.703690503927095,0.316842548987651,0.403797156242295,0.241408244482639,1
"1581",1581,0.784593290387265,0.664543900902043,0.112717292125912,0.0384992762938205,0.0571428571428571,0.42429478437235,0.518800302202711,0.304925751024124,0.033097805391932,1
"1582",1582,0.387277763850731,0.69136709689641,0.0859599501335588,0.0407193368498447,0.125,0.504115130322586,0.536528485743855,0.384673178061608,0.000318713701165342,1
"1583",1583,0.872689925863909,0.56930605260224,0.0235294117647059,0.0359805431066364,0.0454545454545455,0.709425199695656,0.382886387436299,0.305459459918911,0.0134378685887919,1
"1584",1584,0.310944237781793,0.608951094550744,0.0843615050508373,0.0438725510957019,0.0789473684210526,0.631960304775241,0.492120333046469,0.31245444606414,0.478741400069277,1
"1585",1585,0.579189989455726,0.649947122903313,0.0387792152546794,0.039464257291254,0.0277777777777778,0.216236899812398,0.552693484798682,0.321679876035157,0.604660361118022,1
"1586",1586,0.766210510569304,0.611914045477568,0.0212765957446809,0.0393651007092088,0.0547945205479452,0.516618461419436,0.562960672835866,0.313386218153241,0.000426594322312745,1
"1587",1587,0.081469206416656,0.656052513953048,0.0673974909866838,0.0478153901841399,0.0810810810810811,0.162271879557352,0.463632604633484,0.296296296296296,0.390553267325705,1
"1588",1588,0.899224896187577,0.584023175079054,0.0682402956050886,0.0347230091850333,0.0869565217391304,0.550021406840845,0.498206099172471,0.406442107402327,1.44568840879906e-06,1
"1589",1589,0.51457838798712,0.689556522316342,0.0606463055503195,0.0484749439639459,0.0821917808219178,0.55423419233121,0.424120699391787,0.313386218153241,0.543675776463517,1
"1590",1590,0.697627290311978,0.731695196519926,0.0834273944271905,0.0481919352002303,0.0882352941176471,0.39920484086636,0.340076668965497,0.360242660446063,0.629149841472946,1
"1591",1591,0.867996312666956,0.533955360227321,0.0586701348757901,0.0314604186842289,0.0666666666666667,0.467440421428405,0.466230119784384,0.39437037037037,7.90281532231258e-05,1
"1592",1592,0.944565274916465,0.618239295585769,0.0562070971203594,0.0287334735108723,0,0.534978139587479,0.547314954973875,0.216,0.0177655382808721,1
"1593",1593,0.722593228864914,0.622927812289152,0.0442282202197843,0.0335786073240461,0.0576923076923077,0.462143173972774,0.552155487117728,0.370066926279944,0.193032467620494,1
"1594",1594,0.797424132581846,0.533077887918381,0.0239066974990089,0.0318769267894266,0.161290322580645,0.455425803610129,0.421071538370508,0.369205638201693,0.59626784677046,1
"1595",1595,0.773349722421763,0.626298802110591,0.12127586553511,0.0296208791106871,0.0327868852459016,0.302889322594394,0.597066089529427,0.45801685474537,0.672165733365874,1
"1596",1596,0.903188158901749,0.466408943622681,0.0416666666666667,0.025945938618004,0.0655737704918033,0.459439297471204,0.61643129738127,0.257700976709241,0.185426950498115,1
"1597",1597,0.76339915447419,0.594976293523745,0.0634612986963824,0.0321819761015202,0.0793650793650794,0.430703788536228,0.638120110038169,0.277389660557245,0.615430563258206,1
"1598",1598,0.826117300095219,0.646352303138774,0.0757286551014888,0.0308805256416617,0.032258064516129,0.242374805103017,0.575526015771753,0.306063532505959,0.68679603383216,1
