"","ID","scagnostics","scag_num"
"1",1,0.266987000293624,1
"2",1,0.809082984488276,2
"3",1,0.021505376344086,3
"4",1,0.0992801242793495,4
"5",1,0.189873417721519,5
"6",1,0.24498053555789,6
"7",1,0.653688225694405,7
"8",1,0.512,8
"9",1,0.0509833833802703,9
"10",2,0.149530177943014,1
"11",2,0.611675282173276,2
"12",2,0.0343606192146935,3
"13",2,0.0998101455160195,4
"14",2,0.0967741935483871,5
"15",2,0.551398750020965,6
"16",2,0.480051994432917,7
"17",2,0.427680538382641,8
"18",2,0.000439058126401918,9
"19",3,0.209898666200362,1
"20",3,0.775349005035814,2
"21",3,0.0234396177253165,3
"22",3,0.0845023717462306,4
"23",3,0.19672131147541,5
"24",3,0.43241398977864,6
"25",3,0.618992562039589,7
"26",3,0.554970828913104,8
"27",3,0.0226520539473458,9
"28",4,2.74106632181432e-318,1
"29",4,0.606351367212523,2
"30",4,0.0133333333333333,3
"31",4,0.0863174397247722,4
"32",4,0.0342465753424658,5
"33",4,0.643646612719738,6
"34",4,0.497341211953592,7
"35",4,0.378269206678207,8
"36",4,0.00149918819191553,9
"37",5,0.317584308387297,1
"38",5,0.80961096179081,2
"39",5,0.0105263157894737,3
"40",5,0.0699267634552366,4
"41",5,0.111842105263158,5
"42",5,0.274363166045624,6
"43",5,0.64009563118267,7
"44",5,0.460739537000764,8
"45",5,0.00188646925005629,9
"46",6,0.1695945815362,1
"47",6,0.723524730881014,2
"48",6,0.0202030577592638,3
"49",6,0.0721007674430304,4
"50",6,0.101123595505618,5
"51",6,0.462760824147457,6
"52",6,0.552162859478685,7
"53",6,0.442865022893386,8
"54",6,0.0232776336982436,9
"55",7,0.273044023483441,1
"56",7,0.798782566410327,2
"57",7,0.017218001534549,3
"58",7,0.0600361884090348,4
"59",7,0.146341463414634,5
"60",7,0.280904406196904,6
"61",7,0.606823018345577,7
"62",7,0.401130859375,8
"63",7,0.00427642551348589,9
"64",8,0.022801543506075,1
"65",8,0.726587865985789,2
"66",8,0.00671140939597315,3
"67",8,0.0736297957708665,4
"68",8,0.0779816513761468,5
"69",8,0.699035559156859,6
"70",8,0.497159464421552,7
"71",8,0.395007136184589,8
"72",8,0.000762355446812524,9
"73",9,0.194811419355861,1
"74",9,0.796149851566268,2
"75",9,0.00863589378534966,3
"76",9,0.0607425424755093,4
"77",9,0.106481481481481,5
"78",9,0.39474756969142,6
"79",9,0.627628946942246,7
"80",9,0.392452851676385,8
"81",9,0.00827241501559903,9
"82",10,0.0658444687443217,1
"83",10,0.664193877832471,2
"84",10,0.0112312686777148,3
"85",10,0.0553081603350091,4
"86",10,0.0537190082644628,5
"87",10,0.53019598624184,6
"88",10,0.617954010263294,7
"89",10,0.365608336845455,8
"90",10,4.21092352027065e-06,9
"91",11,0.0646329286094123,1
"92",11,0.731221047854822,2
"93",11,0.00520293466200123,3
"94",11,0.0695599202127202,4
"95",11,0.0860215053763441,5
"96",11,0.63947652014091,6
"97",11,0.458944379013039,7
"98",11,0.407687587969613,8
"99",11,0.0194922474388328,9
"100",12,0.0150199630270449,1
"101",12,0.519355161493681,2
"102",12,0.0181673087934625,3
"103",12,0.0763913116787505,4
"104",12,0.0403225806451613,5
"105",12,0.671162478383542,6
"106",12,0.410892676967654,7
"107",12,0.286635234105346,8
"108",12,0.0021377034309879,9
"109",13,3.47080128072184e-318,1
"110",13,0.696486030962792,2
"111",13,0.02,3
"112",13,0.122317871915517,4
"113",13,0.0729166666666667,5
"114",13,0.354795127334291,6
"115",13,0.709729681767897,7
"116",13,0.444470768333576,8
"117",13,0.042670810614595,9
"118",14,0.277349256564791,1
"119",14,0.668874576237208,2
"120",14,0.0441288137308659,3
"121",14,0.106918462822413,4
"122",14,0.0804597701149425,5
"123",14,0.284467921186543,6
"124",14,0.569497664242195,7
"125",14,0.361128502657428,8
