"","ID","scagnostics","scag_num"
"1",1,0.182996966968447,1
"2",1,0.515185289016087,2
"3",1,0.00433075315640366,3
"4",1,0.0816124512812966,4
"5",1,0.0674157303370786,5
"6",1,0.662566980632335,6
"7",1,0.456704532585243,7
"8",1,0.403797156242295,8
"9",1,0.0137322136312165,9
"10",2,0.35565042773329,1
"11",2,0.668478233768965,2
"12",2,0.00355813756171085,3
"13",2,0.0744174348885032,4
"14",2,0.0697674418604651,5
"15",2,0.725916657590221,6
"16",2,0.313048509357794,7
"17",2,0.447180948503969,8
"18",2,0.194241357904958,9
"19",3,0.0583150504287135,1
"20",3,0.651943711106962,2
"21",3,0,3
"22",3,0.105376676076572,4
"23",3,0.0652173913043478,5
"24",3,0.676373414634333,6
"25",3,0.414061933804506,7
"26",3,0.398868848593964,8
"27",3,0.0367879770418882,9
"28",4,0.178222746768723,1
"29",4,0.685931234867937,2
"30",4,0.00995955540052443,3
"31",4,0.0966268553332749,4
"32",4,0.1,5
"33",4,0.586465760844847,6
"34",4,0.343983695204484,7
"35",4,0.351719926725015,8
"36",4,0.0140419517274146,9
"37",5,0.0961419253448905,1
"38",5,0.672204581864708,2
"39",5,0.0223445079416086,3
"40",5,0.0929626925392225,4
"41",5,0.0967741935483871,5
"42",5,0.527983493080287,6
"43",5,0.47240677116735,7
"44",5,0.427680538382641,8
"45",5,0.041152053216908,9
"46",6,0.140211030738672,1
"47",6,0.541356876608318,2
"48",6,0,3
"49",6,0.0876615486709231,4
"50",6,0.0537634408602151,5
"51",6,0.660478010164438,6
"52",6,0.425888790684557,7
"53",6,0.349248835604382,8
"54",6,0.0902834816704436,9
"55",7,0.16802577003194,1
"56",7,0.610262657168162,2
"57",7,0.00560753529789283,3
"58",7,0.0978776591906399,4
"59",7,0.0326086956521739,5
"60",7,0.653140629501827,6
"61",7,0.280779895481081,7
"62",7,0.392857442213288,8
"63",7,0.00936017282477285,9
"64",8,0.160974402061968,1
"65",8,0.676945328264473,2
"66",8,0.000272541389744768,3
"67",8,0.0895089992500506,4
"68",8,0.108695652173913,5
"69",8,0.445226012233867,6
"70",8,0.550089404030012,7
"71",8,0.48149171816082,8
"72",8,0.105133158904058,9
"73",9,0.0758229761331439,1
"74",9,0.635650877852231,2
"75",9,0.0220573344873794,3
"76",9,0.097717809890636,4
"77",9,0.0555555555555556,5
"78",9,0.711246420355042,6
"79",9,0.431912215057955,7
"80",9,0.289511151570323,8
"81",9,0.06173835155794,9
"82",10,0.46732932757958,1
"83",10,0.620136097166853,2
"84",10,0.0355851095928218,3
"85",10,0.0724010123053555,4
"86",10,0.024390243902439,5
"87",10,0.532747714257079,6
"88",10,0.522583693576925,7
"89",10,0.288826997891703,8
"90",10,0.0420154985134354,9
