"","ID","Rate","N","SD","signal"
"225",225,2,200,3,1
"226",226,0.5,200,4,1
"227",227,0.75,200,4,1
"228",228,1,200,4,1
"229",229,1.5,200,4,1
"230",230,2,200,4,1
"231",231,0.5,200,6,1
"232",232,0.75,200,6,1
"233",233,1,200,6,1
"234",234,1.5,200,6,1
"235",235,2,200,6,1
"236",236,0.5,200,8,1
"237",237,0.75,200,8,1
"238",238,1,200,8,1
"239",239,1.5,200,8,1
"240",240,2,200,8,1
"241",241,0.5,200,12,1
"242",242,0.75,200,12,1
"243",243,1,200,12,1
"244",244,1.5,200,12,1
"245",245,2,200,12,1
"246",246,0.5,300,1,1
"247",247,0.75,300,1,1
"248",248,1,300,1,1
"249",249,1.5,300,1,1
"250",250,2,300,1,1
"251",251,0.5,300,2,1
"252",252,0.75,300,2,1
"253",253,1,300,2,1
"254",254,1.5,300,2,1
"255",255,2,300,2,1
"256",256,0.5,300,3,1
"257",257,0.75,300,3,1
"258",258,1,300,3,1
"259",259,1.5,300,3,1
"260",260,2,300,3,1
"261",261,0.5,300,4,1
"262",262,0.75,300,4,1
"263",263,1,300,4,1
"264",264,1.5,300,4,1
"265",265,2,300,4,1
"266",266,0.5,300,6,1
"267",267,0.75,300,6,1
"268",268,1,300,6,1
"269",269,1.5,300,6,1
"270",270,2,300,6,1
"271",271,0.5,300,8,1
"272",272,0.75,300,8,1
"273",273,1,300,8,1
"274",274,1.5,300,8,1
"275",275,2,300,8,1
"276",276,0.5,300,12,1
"277",277,0.75,300,12,1
"278",278,1,300,12,1
"279",279,1.5,300,12,1
"280",280,2,300,12,1
"281",281,0.5,400,1,1
"282",282,0.75,400,1,1
"283",283,1,400,1,1
"284",284,1.5,400,1,1
"285",285,2,400,1,1
"286",286,0.5,400,2,1
"287",287,0.75,400,2,1
"288",288,1,400,2,1
"289",289,1.5,400,2,1
"290",290,2,400,2,1
"291",291,0.5,400,3,1
"292",292,0.75,400,3,1
"293",293,1,400,3,1
"294",294,1.5,400,3,1
"295",295,2,400,3,1
"296",296,0.5,400,4,1
"297",297,0.75,400,4,1
"298",298,1,400,4,1
"299",299,1.5,400,4,1
"300",300,2,400,4,1
"301",301,0.5,400,6,1
"302",302,0.75,400,6,1
"303",303,1,400,6,1
"304",304,1.5,400,6,1
"305",305,2,400,6,1
"306",306,0.5,400,8,1
"307",307,0.75,400,8,1
"308",308,1,400,8,1
"309",309,1.5,400,8,1
"310",310,2,400,8,1
"311",311,0.5,400,12,1
