"","data_name","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","plot_location","index"
"52","data-1-1-1-20-2-14-5.csv","14","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"53","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"54","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"55","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"56","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"57","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"58","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"59","data-1-1-1-20-2-14-5.csv","5","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"60","data-1-1-1-20-2-14-5.csv","4","10","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"61","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"62","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"63","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"64","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"65","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"66","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"67","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"68","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"69","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"70","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"71","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"72","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"73","data-1-1-1-20-2-14-5.csv","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"74","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"75","data-1-1-1-20-2-14-5.csv","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"76","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"77","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"78","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"79","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"80","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"81","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"82","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"83","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"84","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"85","data-1-1-1-20-2-14-5.csv","7","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"86","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"87","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"88","data-1-1-1-20-2-14-5.csv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"89","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"90","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"91","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"92","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"93","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"94","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"95","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"96","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"97","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
