"","ID","scagnostics","scag_num"
"1",1,0.181317294945287,1
"2",1,0.591823881731017,2
"3",1,0.0418841703272623,3
"4",1,0.0832012215609288,4
"5",1,0.0760869565217391,5
"6",1,0.669496669602165,6
"7",1,0.400911340099483,7
"8",1,0.336648311005178,8
"9",1,0.17240720013662,9
"10",2,0.0875892243479292,1
"11",2,0.682764045586094,2
"12",2,0.0263526022519419,3
"13",2,0.0947480473952213,4
"14",2,0.0769230769230769,5
"15",2,0.547365672677574,6
"16",2,0.295832416490512,7
"17",2,0.302979422335859,8
"18",2,0.117595867146983,9
"19",3,0.442711760233197,1
"20",3,0.673551228320185,2
"21",3,0.0280428941485084,3
"22",3,0.0654776501007931,4
"23",3,0.132530120481928,5
"24",3,0.715404530881292,6
"25",3,0.253161013907765,7
"26",3,0.310865697693934,8
"27",3,0.00498149456398708,9
"28",4,0.451498240515678,1
"29",4,0.677515452530614,2
"30",4,0.06249289040576,3
"31",4,0.0680891454695184,4
"32",4,0.0476190476190476,5
"33",4,0.48852822897655,6
"34",4,0.40847247318746,7
"35",4,0.402701866181156,8
"36",4,0.0760508270159752,9
"37",5,0.595050394928069,1
"38",5,0.605511663128274,2
"39",5,0.0424737454039961,3
"40",5,0.0540770676494402,4
"41",5,0.0256410256410256,5
"42",5,0.381742218069218,6
"43",5,0.596392248301758,7
"44",5,0.368087962962963,8
"45",5,0.23771331921877,9
"46",6,0.332533161660702,1
"47",6,0.715804971015229,2
"48",6,0.0506839903351085,3
"49",6,0.0774855498076518,4
"50",6,0.0930232558139535,5
"51",6,0.565572578329843,6
"52",6,0.332168012289157,7
"53",6,0.331816112881202,8
"54",6,0.175754244530937,9
"55",7,0.476631712478554,1
"56",7,0.518184762482255,2
"57",7,0.0434782608695652,3
"58",7,0.0592170140121968,4
"59",7,0.05,5
"60",7,0.541652489000032,6
"61",7,0.556175615473741,7
"62",7,0.435630727400893,8
"63",7,0.0933421643832382,9
"64",8,0.636978338979966,1
"65",8,0.684020374908138,2
"66",8,0.0344288342508297,3
"67",8,0.0619269378872771,4
"68",8,0.0675675675675676,5
"69",8,0.375704979264118,6
"70",8,0.427988986860577,7
"71",8,0.400058317539,8
"72",8,0.0669016311707411,9
"73",9,0.844278431366303,1
"74",9,0.725935992963218,2
"75",9,0.0345260872689139,3
"76",9,0.0429156260765058,4
"77",9,0.0645161290322581,5
