"","ID","N","radius","startingAngle","sd1","sd2","signal"
"133",67,67,1,0,0.333333333333333,0.125,1
"134",67,67,1,0,1,1,0
"135",68,67,1,0,0.333333333333333,0.142857142857143,1
"136",68,67,1,0,1,1,0
"137",69,67,1,0,0.333333333333333,0.166666666666667,1
"138",69,67,1,0,1,1,0
"139",70,67,1,0,0.333333333333333,0.2,1
"140",70,67,1,0,1,1,0
"141",71,67,1,0,0.333333333333333,0.25,1
"142",71,67,1,0,1,1,0
"143",72,67,1,0,0.333333333333333,0.333333333333333,1
"144",72,67,1,0,1,1,0
"145",73,100,1,0,0.125,0.125,1
"146",73,100,1,0,1,1,0
"147",74,100,1,0,0.125,0.142857142857143,1
"148",74,100,1,0,1,1,0
"149",75,100,1,0,0.125,0.166666666666667,1
"150",75,100,1,0,1,1,0
"151",76,100,1,0,0.125,0.2,1
"152",76,100,1,0,1,1,0
"153",77,100,1,0,0.125,0.25,1
"154",77,100,1,0,1,1,0
"155",78,100,1,0,0.125,0.333333333333333,1
"156",78,100,1,0,1,1,0
"157",79,100,1,0,0.142857142857143,0.125,1
"158",79,100,1,0,1,1,0
"159",80,100,1,0,0.142857142857143,0.142857142857143,1
"160",80,100,1,0,1,1,0
"161",81,100,1,0,0.142857142857143,0.166666666666667,1
"162",81,100,1,0,1,1,0
"163",82,100,1,0,0.142857142857143,0.2,1
"164",82,100,1,0,1,1,0
"165",83,100,1,0,0.142857142857143,0.25,1
"166",83,100,1,0,1,1,0
"167",84,100,1,0,0.142857142857143,0.333333333333333,1
"168",84,100,1,0,1,1,0
"169",85,100,1,0,0.166666666666667,0.125,1
"170",85,100,1,0,1,1,0
"171",86,100,1,0,0.166666666666667,0.142857142857143,1
"172",86,100,1,0,1,1,0
"173",87,100,1,0,0.166666666666667,0.166666666666667,1
"174",87,100,1,0,1,1,0
"175",88,100,1,0,0.166666666666667,0.2,1
"176",88,100,1,0,1,1,0
"177",89,100,1,0,0.166666666666667,0.25,1
