"","ID","scagnostics","scag_num"
"1",1,0.293270931953019,1
"2",1,0.694334287871581,2
"3",1,0.021978021978022,3
"4",1,0.0940286215553415,4
"5",1,0.0561797752808989,5
"6",1,0.689436383867535,6
"7",1,0.436472278348721,7
"8",1,0.403797156242295,8
"9",1,0.0537314458725575,9
"10",2,0.433512903880521,1
"11",2,0.498498786826893,2
"12",2,0.0431696271172881,3
"13",2,0.0699087632383437,4
"14",2,0.0705882352941176,5
"15",2,0.579991420894501,6
"16",2,0.567808820597636,7
"17",2,0.479329333442919,8
"18",2,0.00395333241315509,9
"19",3,0,1
"20",3,0.533474995629518,2
"21",3,0.0445962709252835,3
"22",3,0.107215047200259,4
"23",3,0.0714285714285714,5
"24",3,0.664281570409665,6
"25",3,0.535289976904025,7
"26",3,0.39437037037037,8
"27",3,1.04749221596877e-07,9
"28",4,0.123973766905836,1
"29",4,0.660569950826173,2
"30",4,0.0285491476389048,3
"31",4,0.103906068898049,4
"32",4,0.0631578947368421,5
"33",4,0.506499838941127,6
"34",4,0.607123370106785,7
"35",4,0.388585078869958,8
"36",4,0.00297220908719482,9
"37",5,0.0404074997947275,1
"38",5,0.631136899368438,2
"39",5,0.0212062883124809,3
"40",5,0.120887674219113,4
"41",5,0.142857142857143,5
"42",5,0.707785788308992,6
"43",5,0.348347407079404,7
"44",5,0.40565085108853,8
"45",5,0.0151171457212,9
"46",6,0.0439768279800119,1
"47",6,0.625383250245684,2
"48",6,0.0243773377041669,3
"49",6,0.107597114589785,4
"50",6,0.0204081632653061,5
"51",6,0.701535411300483,6
"52",6,0.46746159377104,7
"53",6,0.400058317539,8
"54",6,0.000977280287694326,9
"55",7,0,1
"56",7,0.482085990174226,2
"57",7,0.0232872456789749,3
"58",7,0.100658198518521,4
"59",7,0.0612244897959184,5
"60",7,0.567219429689444,6
"61",7,0.261360254472969,7
"62",7,0.421875,8
"63",7,0.00157071095857307,9
"64",8,0.249520482687664,1
"65",8,0.507138862630168,2
"66",8,0.0269434549409896,3
"67",8,0.0821375258386054,4
"68",8,0.0888888888888889,5
"69",8,0.454602516175653,6
"70",8,0.619760760280478,7
"71",8,0.439952949196867,8
"72",8,0.00909688300393512,9
"73",9,0.15608685621708,1
"74",9,0.623440583215693,2
"75",9,0.0208333333333333,3
"76",9,0.0971009395197662,4
"77",9,0.032258064516129,5
"78",9,0.686066791450308,6
"79",9,0.317414817322951,7
"80",9,0.398868848593964,8
"81",9,0.0022446568854879,9
"82",10,0.19021794145416,1
"83",10,0.464734167109873,2
"84",10,0.0351254639732562,3
"85",10,0.0855804497112574,4
"86",10,0.0978260869565217,5
"87",10,0.595355198277886,6
"88",10,0.392939018184714,7
"89",10,0.427680538382641,8
"90",10,0.00139159551655929,9
"91",11,0.026893021440184,1
"92",11,0.50729625535597,2
"93",11,0.0202020202020202,3
"94",11,0.10127752033033,4
"95",11,0.0612244897959184,5
"96",11,0.615793964209388,6
"97",11,0.520287705742975,7
"98",11,0.427377648494194,8
"99",11,0.00671554768417102,9
"100",12,0.122537496464011,1
"101",12,0.605426331741612,2
"102",12,0.0269117800508994,3
"103",12,0.0920756035025295,4
"104",12,0.105263157894737,5
"105",12,0.556911682078465,6
"106",12,0.467840993810063,7
"107",12,0.376714677640604,8
"108",12,0.03369448779525,9
"109",13,0.133679290503285,1
"110",13,0.576551983455652,2
"111",13,0.0208333333333333,3
"112",13,0.0955490096988863,4
"113",13,0.0645161290322581,5
"114",13,0.613354243820012,6
"115",13,0.318982030374259,7
"116",13,0.316043091665677,8
"117",13,0.000258780365274782,9
"118",14,0.143682940139162,1
"119",14,0.585721362644079,2
"120",14,0.0208333333333333,3
"121",14,0.0884383117500956,4
"122",14,0.0967741935483871,5
"123",14,0.657459591692674,6
"124",14,0.404418535872683,7
"125",14,0.404774084423046,8
"126",14,0.0145505740492016,9
"127",15,0.187779440916401,1
"128",15,0.549586223825833,2
"129",15,0.0252094966602451,3
"130",15,0.0925202112094893,4
"131",15,0.0957446808510638,5
"132",15,0.594853416947612,6
"133",15,0.561812533726625,7
"134",15,0.462487703703704,8
"135",15,0.0113778634367468,9
"136",16,0.0951038538279772,1
"137",16,0.580424787205804,2
"138",16,0.0258758265685518,3
"139",16,0.0973421345248097,4
"140",16,0.0824742268041237,5
"141",16,0.799687145502379,6
"142",16,0.351272734326489,7
"143",16,0.346988332379129,8
"144",16,8.71180665081822e-05,9
"145",17,0.0932414874967331,1
"146",17,0.551212206521599,2
"147",17,0.0910389428025986,3
"148",17,0.0937997398622451,4
"149",17,0.0967741935483871,5
"150",17,0.577902607872388,6
"151",17,0.643121894181778,7
"152",17,0.404774084423046,8
"153",17,0.00169100857164642,9
"154",18,0.0303476284088895,1
"155",18,0.550613101929725,2
"156",18,0.040664034536621,3
"157",18,0.0978776591906399,4
"158",18,0.0918367346938776,5
"159",18,0.630018982948289,6
"160",18,0.474904037896908,7
"161",18,0.367394330049553,8
"162",18,0.0108248805792106,9
"163",19,0.230161073220583,1
"164",19,0.557481416840015,2
