"","ID","signal","scag_num_1","scag_num_2","scag_num_3","scag_num_4","scag_num_5","scag_num_6","scag_num_7","scag_num_8","scag_num_9","predictions"
"1",1,1,0.182996966968447,0.515185289016087,0.00433075315640366,0.0816124512812966,0.0674157303370786,0.662566980632335,0.456704532585243,0.403797156242295,0.0137322136312165,0
"2",2,1,0.35565042773329,0.668478233768965,0.00355813756171085,0.0744174348885032,0.0697674418604651,0.725916657590221,0.313048509357794,0.447180948503969,0.194241357904958,1
"3",3,1,0.0583150504287135,0.651943711106962,0,0.105376676076572,0.0652173913043478,0.676373414634333,0.414061933804506,0.398868848593964,0.0367879770418882,0
"4",4,1,0.178222746768723,0.685931234867937,0.00995955540052443,0.0966268553332749,0.1,0.586465760844847,0.343983695204484,0.351719926725015,0.0140419517274146,0
"5",5,1,0.0961419253448905,0.672204581864708,0.0223445079416086,0.0929626925392225,0.0967741935483871,0.527983493080287,0.47240677116735,0.427680538382641,0.041152053216908,0
"6",6,1,0.140211030738672,0.541356876608318,0,0.0876615486709231,0.0537634408602151,0.660478010164438,0.425888790684557,0.349248835604382,0.0902834816704436,1
"7",7,1,0.16802577003194,0.610262657168162,0.00560753529789283,0.0978776591906399,0.0326086956521739,0.653140629501827,0.280779895481081,0.392857442213288,0.00936017282477285,0
"8",8,1,0.160974402061968,0.676945328264473,0.000272541389744768,0.0895089992500506,0.108695652173913,0.445226012233867,0.550089404030012,0.48149171816082,0.105133158904058,1
"9",9,1,0.0758229761331439,0.635650877852231,0.0220573344873794,0.097717809890636,0.0555555555555556,0.711246420355042,0.431912215057955,0.289511151570323,0.06173835155794,1
"10",10,1,0.46732932757958,0.620136097166853,0.0355851095928218,0.0724010123053555,0.024390243902439,0.532747714257079,0.522583693576925,0.288826997891703,0.0420154985134354,0
"11",11,1,0.357802432940675,0.651305858259027,0.02012414014963,0.0725291020962453,0.102272727272727,0.565306771349998,0.561118717103931,0.428018714860171,0.00498082227405163,0
"12",12,1,0.158858955437454,0.68281540352289,0.0208119127167183,0.0883277638171982,0.0879120879120879,0.544443981476618,0.272327385084107,0.409935860058309,0.0644528607479817,1
"13",13,1,0.0654654006038609,0.599637385034753,0,0.103543410342927,0.114583333333333,0.765562378556088,0.272909854241932,0.388585078869958,0.0494826640225825,0
"14",14,1,0.0649732201826603,0.555415965023244,0.00244759715485685,0.0910726643527447,0.0645161290322581,0.639585876747094,0.539019768716253,0.349248835604382,0.0627255644711238,1
"15",15,1,0.114869871976984,0.52178108227779,0.0145835804629079,0.0866526225629751,0.0978260869565217,0.775952706295808,0.304966066730344,0.392857442213288,0.030383730793908,0
"16",16,1,0.060572166881315,0.671472787680576,0.0156182991087033,0.097352171348523,0.074468085106383,0.589702205592906,0.388489547547336,0.355396412037037,0.0812237130740405,1
"17",17,1,0.140249152775118,0.526301064617484,0.019919503258681,0.0819052376748879,0.0337078651685393,0.740060084999824,0.305436299939673,0.323630233772106,0.0731218126292891,1
"18",18,1,0.325460067071669,0.606176458278986,0.0254751507641786,0.0731261147186568,0.0898876404494382,0.562045527010439,0.406448966326455,0.527943508895498,0.0519197621803498,1
"19",19,1,0.218245935671367,0.688098464356997,0.00258421524996937,0.0853346351467053,0.0333333333333333,0.643902261741212,0.328591928310703,0.415960951186189,0.0285664872053774,0
"20",20,1,0.250086105199347,0.672095859841904,0.00598708354693551,0.0894270937890206,0.122222222222222,0.677722908520449,0.369529334769487,0.330192219621413,0.000597301534650045,0
"21",21,1,0.0828646630602591,0.65037790245648,0.0165822687004047,0.0891699695050888,0.09375,0.587851448892702,0.34695932184994,0.438976,0.0321051268190145,0
"22",22,1,0.198469421659993,0.674428769985852,0,0.0812705358663273,0.0869565217391304,0.459693546661934,0.447132584462419,0.343,0.0479176882215214,0
"23",23,1,0.156561020875968,0.646858670609096,0.0297846434706048,0.0985739521296653,0.0543478260869565,0.65044335891936,0.284034119298512,0.316043091665677,0.0764575649778619,1
"24",24,1,0.165495253386409,0.50719556840309,0.0131694591192346,0.0854719211480222,0.108695652173913,0.655813457651967,0.367315524067997,0.302979422335859,0.0247298832847297,0
"25",25,1,0.146548398131441,0.599806747073796,0.015269521479237,0.0919481778571093,0.0434782608695652,0.73111832624309,0.25066464188185,0.330192219621413,0.0843084386633386,1
"26",26,1,0.303667990608229,0.705695384691006,0.0139569594877023,0.0463313338897123,0.0246913580246914,0.471356056324715,0.571970973713976,0.415213939779321,0.608624099856723,1
"27",27,1,0.106320567100176,0.728185647623144,0.0786577293511612,0.0645534255366879,0.0786516853932584,0.515345894518561,0.600153205194811,0.374163571137798,0.730561548676338,1
"28",28,1,0.0261075509132686,0.708100979188638,0.0701419967615742,0.0762141665728264,0.0217391304347826,0.624900397514584,0.5332577907548,0.216,0.724894256508199,1
"29",29,1,0,0.686838215208113,0.0179609298965447,0.0611329699490618,0.0449438202247191,0.495201571415209,0.60614056854077,0.345198711277651,0.734659396656275,1
"30",30,1,0.126272928704078,0.595239070091055,0.0595006243805598,0.0558633828583509,0.113636363636364,0.498109952461974,0.506014331253412,0.212534825954147,0.75989345711672,1
"31",31,1,0.188827629036612,0.713440580034143,0.0275074026369745,0.0589938490926743,0.0689655172413793,0.505751775163083,0.569032315413148,0.384673178061608,0.708081966547803,1
"32",32,1,0.136301562352373,0.636822619216028,0.0291939614627105,0.0638916337088681,0.0581395348837209,0.649351816721341,0.488383134073328,0.303295135498047,0.690448178129798,1
