"","ID","scag_num_1","scag_num_2","scag_num_3","scag_num_4","scag_num_5","scag_num_6","scag_num_7","scag_num_8","scag_num_9","set","signal"
"1",1,0.0658850579074483,0.741048629075688,0.0718073773695384,0.127011600186853,0.0714285714285714,0.250751102979101,0.651374110754455,0.254037037037037,0.491532018123143,1,0
"2",2,0,0.630272062360068,0.153881389207362,0.112621627771136,0.0476190476190476,0.205242702429558,0.617583011276057,0.371307373046875,0.53091018883709,1,0
"3",3,0,0.716230661085439,0.0485585104885377,0.108631956950625,0.0909090909090909,0.667110011028409,0.545853637217715,0.384673178061608,0.93184369916008,1,1
"4",4,0,0.596067586972478,0.22615410294632,0.108315438952978,0.162790697674419,0.230819570083302,0.664385392789437,0.500788723794016,0.583031032742349,1,0
"5",5,0,0.755128919995068,0.150233734001262,0.143780997001016,0.0454545454545455,0.130161711852341,0.722017840018317,0.522740912208505,0.585170681658613,1,0
"6",6,0,0.68189275432986,0.45726866638883,0.108778435300593,0.116279069767442,0.227999330103643,0.601649670863299,0.384673178061608,0.622792066468223,1,0
"7",7,0,0.714693343527743,0.282172442111764,0.133810933793549,0.0465116279069767,0.193595665836625,0.680340473407798,0.384673178061608,0.41136960528091,1,0
"8",8,0,0.678710524403849,0.269762552272322,0.138204858885884,0.0454545454545455,0.169409338064321,0.644181565467657,0.397542234887034,0.291147562447934,1,0
"9",9,0,0.789127130519778,0.0823234589188445,0.142833083113829,0.0227272727272727,0.173167709883507,0.708659864524502,0.459078717201166,0.547970523255539,1,0
"10",10,0.175601956339578,0.664436643085395,0.386041887716185,0.107905805511235,0.0952380952380952,0.221747916223434,0.663103163016452,0.310865697693934,0.644024087550313,1,0
"11",11,0.155383774819144,0.67655250687919,0.26955420133426,0.0850821642430388,0.166666666666667,0.316354168181078,0.552332046815496,0.500788723794016,0.820016588062502,1,0
"12",12,0,0.598595234895837,0.129023983433141,0.119331890804587,0.0454545454545455,0.432119920958139,0.559159126137721,0.512,0.644992588278201,1,0
"13",13,0,0.622409834332672,0.148609676416112,0.123934188707542,0.0909090909090909,0.19364508517483,0.685042276411996,0.384673178061608,0.3642894006246,1,0
"14",14,0,0.507164943489749,0.203458702157658,0.119565172668143,0.0681818181818182,0.191337436205286,0.731707920676963,0.338564710465537,0.429130034959379,1,0
"15",15,0,0.691112805560642,0.596963313622657,0.0866238641776203,0.0476190476190476,0.112080564529389,0.548453061280169,0.434788657929154,1.11685071109379e-06,1,1
"16",16,0,0.676393182810133,0.190114830761441,0.118394166893214,0.0731707317073171,0.159963889636297,0.660087445260311,0.421875,0.633956824417347,1,0
"17",17,0,0.767398513553292,0.0584621201206348,0.11484417682558,0.0454545454545455,0.245621550653516,0.666514963658592,0.397542234887034,0.69374304824414,1,0
"18",18,0,0.672928840462388,0.285060582254622,0.133609977248171,0.024390243902439,0.163643337371404,0.680073440631022,0.357423382900876,0.672771029174212,1,0
"19",19,0,0.713989299861983,0.138610834877826,0.11431000486814,0.0930232558139535,0.194531035234093,0.719994637691205,0.646911337926678,0.609829674700038,1,0
"20",20,0,0.488920076602501,0.0820118267033388,0.122281039097731,0.0681818181818182,0.275483858862984,0.6032927034326,0.338564710465537,0.633437003935278,1,0
"21",21,0,0.619701750738624,0.146965569059658,0.131477606533306,0.0681818181818182,0.180374720427934,0.650455838420278,0.397542234887034,0.450557153651801,2,0
"22",22,0,0.656866970749435,0.0899533377068658,0.125212388707447,0.19047619047619,0.170927263282889,0.686384436043218,0.434788657929154,0.684478830227312,2,0
"23",23,0,0.745635461832294,0.547491761973757,0.107674990689687,0.025,0.149859974924314,0.545021811701498,0.39437037037037,0.251725589293563,2,1
"24",24,0.114132349057324,0.767779902302606,0.395627152980451,0.1147618248304,0.0952380952380952,0.227109756022744,0.599394172104998,0.568839650145773,0.54207916483963,2,0
"25",25,0,0.655452170576301,0.122932419243005,0.127574500594271,0.0952380952380952,0.213409261523764,0.684107286804442,0.434788657929154,0.625142065149015,2,0
"26",26,0,0.631729865334297,0.052938982570189,0.11581064873061,0,0.268669464874153,0.660122589891716,0.230237319995972,0.726427362452235,2,0
"27",27,0,0.480491765142313,0.227860973183991,0.101930024719499,0.0681818181818182,0.240992816253886,0.610476243208322,0.522740912208505,0.479458976482773,2,0
"28",28,0,0.769612767131406,0.135857596837474,0.131170694311114,0.116279069767442,0.184115877916056,0.582361314274904,0.434788657929154,0.421069500482354,2,0
"29",29,0,0.708016061396195,0.147386692944893,0.124566939187292,0.0714285714285714,0.326124415279728,0.621678902788394,0.434788657929154,0.614379345073715,2,0
"30",30,0.205714378638581,0.706924690268279,0.421693267494925,0.16102034393166,0.0731707317073171,0.137030300445657,0.620024557761031,0.421875,0.33123987150138,2,0
"31",31,0,0.719433969057798,0.247242865851423,0.141397538306599,0.1,0.242497142786819,0.655474320017343,0.476837158203125,0.622667645859512,2,0
"32",32,0,0.696384548088017,0.215272030240132,0.128255255457205,0.0454545454545455,0.181445224495205,0.656332285122913,0.459078717201166,0.460633428766205,2,0
"33",33,0,0.58453352468863,0.123577606540085,0.141013434428839,0,0.274191474435108,0.651261367970222,0.338564710465537,0.510103935438324,2,0
"34",34,0.178826130773228,0.686756645272598,0.283441649011258,0.0959347152291231,0.0952380952380952,0.227249493982802,0.592067143234111,0.434788657929154,0.314215797864492,2,0
"35",35,0,0.664904640100434,0.0668923679793372,0.117160508599069,0.136363636363636,0.193243020802419,0.699493665162177,0.282623291015625,0.530635757152089,2,0
