"","ID","scag_num_1","scag_num_2","scag_num_3","scag_num_4","scag_num_5","scag_num_6","scag_num_7","scag_num_8","scag_num_9","signal"
"1",1,0.171674609904962,0.682929544877317,0.105263157894737,0.142931469648562,0.833333333333333,0.0107669811866987,0.654220212672427,1,0.904489652562227,0
"2",2,0.11652971754259,0.595188069447448,0.300592819296977,0.134237536788461,0.5,0.0656648903492872,0.700160370027417,1,0.915129752748867,0
"3",3,0.166859338708666,0.74515258914289,0.185100605196614,0.137937487219211,0.666666666666667,0.0461390547446439,0.613307683113932,1,0.894174475682953,0
"4",4,0,0.583281084805495,0.1,0.144778780330289,0.789473684210526,0.0445774212540973,0.677292251573396,1,0.973304658453541,0
"5",5,0,0.862719885685035,0.1,0.168930837818667,0.473684210526316,0.128803120393652,0.687265508956479,1,0.98151773352338,0
"6",6,0,0.755210691050689,0.1,0.150287511732246,0.421052631578947,0.0736839482662163,0.719897050860986,1,0.967798834387757,0
"7",7,0.287021337132932,0.710968789450398,0.182614000847869,0.0991996036666805,0.764705882352941,0.0366689209232735,0.698865644805075,1,0.920643429846035,0
"8",8,0.479773091395641,0.844975185694598,0.181213349547618,0.0979020259046999,0.375,0.0865013951630362,0.682776569657223,1,0.939202855369693,0
"9",9,0.104403445596689,0.668270961382815,0.11225242488688,0.140662795793309,0.333333333333333,0.0834469151592157,0.691087141668717,1,0.943435971015633,0
"10",10,0.312974958253154,0.539231915658235,0.573495617361873,0.0809118080030378,0.647058823529412,0.0189561848678519,0.626097354962186,1,0.920947789430399,0
"11",11,0.308247225778134,0.742763914031066,0.195907397485338,0.103781834870924,0.705882352941177,0.0706020458185718,0.674088484607538,1,0.897529899300968,0
"12",12,0.154508152398084,0.696109848909124,0.105263157894737,0.12097917932867,0.555555555555556,0.0822760496426211,0.694556942472786,1,0.982076147246028,0
"13",13,0.273225170811638,0.64230305065558,0.20603109048802,0.101307235839621,0.470588235294118,0.0691700645422404,0.69368496702792,1,0.947504668577129,0
"14",14,0,0.724038431443214,0.1,0.147051892081326,0.631578947368421,0.0642091343122979,0.72901851486978,1,0.977132972123181,1
"15",15,0.446643962893222,0.577492238750068,0.276197511973981,0.0912196187548646,0.4375,0.101024692706296,0.710401763539546,1,0.961020975476172,0
"16",16,0,0.534016446832901,0.1,0.134872356042825,0.473684210526316,0.0646666128173063,0.727831931931592,1,0.954284806029798,0
"17",17,0.25400660295066,0.619141773808504,0.190681422332167,0.104759122604529,0.411764705882353,0.0522878804190449,0.627231181583127,1,0.914533716849481,0
"18",18,0.397729059880766,0.692861039234132,0.111111111111111,0.0798679013002159,0.647058823529412,0.0728428986094282,0.69954855187764,1,0.985635969897394,0
"19",19,0.150527945678592,0.44952357135119,0.105263157894737,0.115326679452872,0.611111111111111,0.0380536867303883,0.727800451653261,1,0.865635992631845,0
"20",20,0.938085536534439,0.710215124058097,0.184442730311313,0.0652680172697999,0.857142857142857,0.0155162054437719,0.513105580837392,1,0.713891283270918,0
"21",21,0.42335208388278,0.744084482676565,0.137313819848109,0.063720069045318,0.461538461538462,0.0703362771324723,0.721733207911277,1,0.908143035748985,0
"22",22,0.122724686112849,0.66643873330484,0.286021664662257,0.0882960559922139,0.785714285714286,0.0567808384958829,0.807120029701644,1,0.962788712226341,0
"23",23,0.512692046372813,0.577973281402558,0.0740740740740741,0.0554110195199064,0.653846153846154,0.0692960185502986,0.724272318279905,1,0.883788993158369,0
"24",24,0.259456094897184,0.794602433274234,0.147874226381577,0.0901137858392387,0.769230769230769,0.184536497564319,0.759122171317233,1,0.97648063902438,0
"25",25,0,0.835101201044954,0.0666666666666667,0.123773883578808,0.482758620689655,0.044521616980593,0.769616472785792,1,0.946155970940264,0
"26",26,0.471595372030524,0.825824736989366,0.184706351048709,0.0616506811279493,0.44,0.119964700391604,0.723479029124625,1,0.978337070825917,0
"27",27,0.351098162128514,0.755801263472853,0.244843234703519,0.0723926961448468,0.692307692307692,0.0299609614512958,0.764153101019729,1,0.973337117268955,0
