"","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","winner16"
"926",8470,8725,-2.9,8725,5.8,21.7,23.9,49.8,96.7,0.4,0.2,1.1,0.4,1.1,3.6,93.7,91.7,2.1,3.6,90.1,16.5,827,19,4596,81.6,7.3,95300,3820,2.22,27450,52160,10.6,315,2830,14.3,731,848,0,0,0,0,0,29.2,0,283172,46600,5492,0,25,704.7,12.4,"Rep"
"927",21590,21378,1,21378,8.1,26.4,15.7,48.6,86.2,4.4,1.4,6.4,0.2,1.4,26.3,62.1,84.3,18.4,26,78.7,14.5,1380,17.4,8545,72,16.1,107800,7964,2.65,22598,48208,16,616,9392,3.3,1284,1712,0,0,0,0,3.5,21.1,951960,478177,303588,15111,26072,67,715.11,29.9,"Rep"
"928",150287,144260,4.2,144248,7.1,24.7,14,51.1,85.7,5.7,0.3,6.2,0.1,2.1,4.5,81.7,86.3,9.7,12.6,94.3,40.1,9541,17.5,61766,74.9,21.3,171100,57262,2.5,34073,66252,8,3494,78672,-0.3,9421,10097,0,0,2.1,0,0.8,25.7,2971351,777919,2182050,15631,326873,639,653.35,220.8,"Dem"
"929",14058,13930,0.9,13930,6.7,23.1,16.4,50.2,94,1.3,1.9,0.9,0,1.8,3.4,91.4,88.6,2.1,4.6,89.8,16.1,1072,15.1,6377,75.4,17.2,107900,5806,2.35,24554,45633,10.9,393,9056,-4.6,893,1005,0,0,0,0,0,0,0,0,209522,15204,43324,16,616.57,22.6,"Rep"
"930",29095,29750,-2.2,29750,4.9,20.6,18.4,46.7,92,2.4,3.2,0.6,0,1.8,2.9,89.8,88.1,1.7,4.7,88.5,13.5,3023,29.2,17215,79.3,7,145500,11758,2.35,21413,43928,14.8,608,6908,4.7,1723,2633,0,0,0,0,0,20.7,0,6799,243454,8636,0,57,1411.29,21.1,"Rep"
"931",31704,31600,0.3,31600,6.4,23.4,17.1,49.9,93.7,1.4,1.7,1.1,0,2.1,5.9,88.6,84,2.6,7.7,89.1,21.9,2521,17.6,14698,70.7,18.3,128100,12663,2.38,25790,50695,12.6,777,9695,1.1,2183,2909,0,0,0,0,0,19.2,954096,336876,297780,9692,36677,68,1971.13,16,"Rep"
"932",10984,10995,-0.1,10995,5.8,21.2,22.7,49.3,97.5,0.5,0.4,0.5,0,1,1.2,96.6,90.5,0.7,2.3,92.1,20.5,988,19.3,6544,79.7,10.1,148000,4758,2.26,29128,52350,9.2,367,3475,1.3,971,1366,0,0,0,0,0,0,82663,305508,103471,9428,12597,45,669.71,16.4,"Rep"
"933",532655,508640,4.7,508640,7.1,23.4,12.9,51.3,70.1,11.7,1,13.8,0.1,3.4,7.3,64.2,81.5,14.3,20.8,89.9,39.4,28775,22.6,218169,59.8,37.9,198200,205395,2.43,29484,54247,16.9,13170,292031,2,35978,43851,5.6,0.6,5.1,0,1.7,30.6,7578926,9278366,6156546,12328,963534,728,152.21,3341.7,"Dem"
"934",15025,15730,-4.5,15730,5.8,22.5,20.4,49,96.2,0.5,1.2,0.6,0,1.4,7.8,89,90.1,2.6,6.7,89.2,14.6,1249,17.8,7315,78.6,10.5,97600,6400,2.37,26062,50802,11.6,457,4400,0.3,1090,1525,0,0,0,0,0,21.2,0,277711,116957,7246,0,16,982.91,16,"Rep"
"935",65151,64144,1.6,64142,5.8,22.4,14.1,49,91.3,4.1,0.7,2.2,0.1,1.6,7.8,84.2,83.3,6.9,11.2,90.5,27.7,4078,22.6,24567,75.5,18.2,187500,22299,2.51,25370,59915,11.6,1481,22709,-0.3,4149,5177,0,0,0,0,0,27,1397918,0,599153,9666,80619,113,495.68,129.4,"Rep"
"936",9553,9687,-1.4,9687,6.4,24.9,20.5,50.9,96.7,0.8,0.5,0.7,0,1.3,2.5,94.6,89.5,1.7,4.5,90.1,17.9,893,19.7,4270,76.3,12.8,119300,3970,2.36,24101,46623,13.1,264,2581,0.7,711,752,0,0,0,0,0,25.7,0,88474,109119,11531,0,15,482.46,20.1,"Rep"
"937",15679,15629,0.3,15629,6,24.6,15.7,48.9,93.7,0.4,1.6,2.7,0,1.6,1.1,92.7,88.7,3.1,3.8,90.8,17.9,1245,16.2,7417,78.1,11.6,103800,6402,2.4,25650,50759,9.7,408,7114,-0.4,1162,1434,0,0,0,0,0,0,0,0,179942,11273,24494,40,1671.6,9.3,"Rep"
"938",139672,129928,7.5,129928,7.4,28.8,9.3,50.2,87,3.6,1.1,6.2,0.1,2.1,4.8,82.9,89.7,8.6,11.8,94.6,38,7268,26.7,49184,84.8,9.2,244400,45630,2.89,35467,86112,5.5,3214,40780,3,10136,12029,1.5,0.4,3,0,1,30.1,1924968,1300774,1169699,9270,527464,894,356.48,364.5,"Rep"
"939",200949,200226,0.4,200226,5.2,19.3,17.2,49.7,92.6,1.6,2.3,1.1,0,2.3,1.5,91.5,83,2.1,4.1,92.9,26.1,17723,19.5,103218,71.3,19.9,137500,85238,2.24,25946,46517,16.4,5305,85426,1,11401,16970,0.9,0,1.1,0,0,25.5,0,1128194,2760528,14051,498616,466,6247.4,32,"Dem"
"940",152912,150642,1.5,150642,6.1,22.7,13.5,49.6,91.9,3.9,0.4,2.2,0.1,1.6,3.1,89.2,80.3,4.1,6.9,91,24.6,11313,20.4,62907,71.8,20.9,167600,56737,2.51,26065,54551,13.1,4331,76385,0.5,10267,13481,0,0,1,0,0,21.6,3745535,1813571,2423575,16539,251180,479,1343.13,112.2,"Rep"
"941",9436,9783,-3.5,9783,6,21.6,21.4,49.4,96.9,0.8,0.6,0.3,0.2,1.2,4,93.5,89.4,2,4.5,88.4,17,844,16.3,4817,73.5,15,91700,4315,2.19,25750,48026,9.8,306,3342,1.1,689,832,0,0,0,0,0,0,0,665620,80615,7272,0,10,742.08,13.2,"Rep"
"942",24264,24895,-2.5,24895,6.9,24,19.2,48.8,96.8,0.5,0.5,0.6,0.2,1.4,5.5,91.8,89.9,3.4,7.9,86.2,12.6,2035,23.3,12954,83,6.5,130000,9904,2.45,22383,45000,15.7,559,5774,2.7,1649,2203,0,0,0,0,0,0,648116,17986,160034,6664,15083,68,944.98,26.3,"Rep"
"943",21362,21664,-1.4,21676,6,22.3,18.7,50.2,97.5,0.6,0.3,0.6,0,1,3,94.9,90.6,1.4,3,92.7,20,1949,22.5,10036,82.4,10.4,154000,8890,2.39,28282,53057,8.3,573,5837,-0.9,1517,2293,0,0,0,0,0,18.5,0,92168,210766,9685,16992,97,522.98,41.4,"Rep"
"944",13757,13843,-0.6,13843,6.2,24,21.6,50.4,96.2,1,0.7,0.4,0,1.7,1.7,94.8,87.6,1,4,88.4,13.6,1222,22,6982,75.2,10.7,114600,5830,2.3,20329,36928,16.9,394,3846,-0.2,1012,1735,0,0,0,0,0,0,0,243381,177697,13284,10906,45,536.27,25.8,"Rep"
