"","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","winner16"
"1",3360,3141,7,3141,2.8,10.1,6.6,30.9,22.8,12,20.5,40.7,0.6,3.4,13.2,11.5,77.4,56.6,63.7,78.5,12,99,4.8,747,54.7,15.7,118500,435,2.46,26535,61250,16.7,59,0,0,241,188,0,71.8,0,0,0,0,0,0,9326,3309,0,0,6981.94,0.4,"Rep"
"2",957,997,-4,997,5.2,20.1,9.7,44.3,46.1,0,35.2,1,0.3,17.3,4.3,44.1,83.4,0.6,5.2,91.7,19.4,91,10.2,965,57.3,12.7,175000,384,2.42,37024,79531,7.9,66,299,-7.4,220,250,0,0,0,0,0,0,0,0,12785,12823,13278,2,503.84,2,"Rep"
"3",4988,4847,2.9,4847,11,31.9,7.9,48.6,18.7,0.7,70.4,0.9,0.2,9.1,3.1,17.6,84.2,1.5,39.9,83.7,17.8,214,8.7,2422,57.8,15.2,194000,1339,3.59,21498,54150,18.1,92,1264,-1.2,790,789,0,58.3,0,0,0,9.1,0,0,42742,8612,7197,4,18568.78,0.3,"Rep"
"4",99357,97581,1.8,97581,7.7,24.1,8,45.9,77.3,5.4,7.3,3.1,0.5,6.3,7.7,71.3,73.8,5.7,10.3,93.1,29,11048,19.2,41684,59.2,24.9,212500,35588,2.67,32143,69223,8.4,2471,27466,2.2,5249,6481,2,3.8,3.4,0,2.3,32.5,0,0,1574267,16072,221600,54,7338.21,13.3,"Rep"
"5",2566,2508,2.3,2508,3.7,19.1,16.8,51,79.1,0.7,10.4,1.1,0,8.8,2.5,77.5,78.8,5,7.9,96.4,30.1,282,11.7,1639,64.2,15,171900,1245,2.01,31096,52866,7.8,134,635,-0.5,395,489,0,0,0,0,0,37.2,0,0,16185,6991,6351,6,2318.6,1.1,"Rep"
"6",2082,2149,-3.1,2150,5.2,19.4,16.5,46.5,48.8,0.6,39.5,0.7,0.1,10.3,5.1,47.2,85.9,3,13.7,88.4,26.9,172,9.7,1755,63.4,7.3,200500,930,2.23,28806,49545,14.9,71,216,-6.9,287,718,0,0,0,0,0,20.8,0,0,52012,23610,20660,8,7524.92,0.3,"Rep"
"7",32406,31275,3.6,31275,5.9,22.1,10.6,48.8,69.9,1.6,11.9,6.2,1.1,9.3,6.5,65.5,81,6.5,9.9,95.5,36.7,2739,15.1,13207,64.5,32.2,309900,12099,2.58,37558,81490,6.2,1135,10932,-1,2572,3500,1,5.2,3.6,0,0,26.5,0,0,465334,15235,86874,204,2701.93,11.6,"Rep"
"8",13787,13477,2.3,13477,6.5,22.8,12.5,47.9,68.4,0.9,13.8,7.5,0.2,9.1,4.9,65.2,78.3,7.3,9.8,93.5,25.4,1421,13.7,6239,58.5,39.4,265600,5295,2.5,31589,62519,10.2,583,4722,4.5,1317,1472,0,2.4,3,0,0,16.4,0,0,268880,20488,45557,37,4858.41,2.8,"Rep"
"9",1631,1635,-0.2,1631,9.3,28.1,9,47.1,25.1,1,63.4,0.3,0.3,9.9,3.2,23.6,88,1.7,15.8,86.8,15.4,79,6.4,1501,64.4,2.9,136400,508,2.83,21616,51786,21.1,51,135,7.1,298,371,0,0,0,0,0,0,0,0,0,0,0,0,23652.01,0.1,"Rep"
"10",9817,9492,3.4,9492,11.1,34.9,7.3,47.6,17.3,0.7,74.5,1.2,0.1,6.3,2,16.5,83.5,1.4,28.7,84.1,17.1,600,6.7,4045,55.1,18.1,142800,2797,3.37,20271,49974,27.7,167,1910,-1.5,572,629,0,45.2,0,0,0,0,0,0,63167,6785,10198,10,22961.76,0.4,"Rep"
"11",6396,6172,3.6,5559,6.5,24.1,11.4,45.3,47.2,0.4,42.4,0.7,0.4,9,3.3,45.5,82.2,1.4,4.8,91,15.7,492,14.6,3319,70.7,10.5,162500,2240,2.49,24581,46071,15.1,134,894,-7.8,540,905,0,15.8,0,0,0,9.1,0,0,41561,7514,10917,4,3922.87,1.4,"Rep"
"12",8900,8881,0.2,8881,6.1,22.2,13.2,48.7,67,1.1,15.9,6.6,0.3,9.1,6,63.6,84,7.7,13.3,91.2,34.1,757,12.3,4122,56.2,27.2,323200,3554,2.42,32521,69405,10,382,2867,-0.1,1275,1938,0,12.8,0,0,0,16.3,0,0,94916,10875,27072,17,2870.34,3.1,"Rep"
"13",1036,968,7,968,5.2,13.1,10.6,47.6,89.9,0.3,5,0.7,0.2,4,4.3,86.2,83,8.9,12.2,95.2,24.3,47,4.4,662,59.2,27.6,305600,412,2.23,37139,71667,5.5,109,337,10.5,127,0,0,0,0,0,0,0,0,0,0,0,0,2,452.33,2.1,"Rep"
"14",8010,7459,7.4,7459,13.7,42,5.2,47.5,5.2,0.2,91.7,0.3,0,2.6,1.1,4.9,89.5,0.6,50,76.6,5.4,351,6,2183,71.1,3.4,109300,1744,4.39,11210,40176,31.4,71,575,-18.3,474,0,0,0,0,0,0,0,0,0,39514,5211,0,0,17081.43,0.4,"Rep"
"15",2364,2365,0,2369,4.8,20.3,17.9,48.2,70.6,0.4,16.9,1.9,0,10.3,2.2,69.2,86.4,2.8,6,89,16.7,364,9.5,1422,71.4,17.2,157400,1149,2.01,28474,45841,9.5,86,524,-3.9,356,0,0,0,0,0,0,0,0,0,0,0,0,6,2541.48,0.9,"Rep"
"16",635,662,-4.1,662,5.7,19.2,12.8,44.6,39.8,2.5,36.1,4.6,1.7,15.3,3.3,37.2,81.8,5.9,19.6,93.2,22.7,58,5.4,450,49.6,13.8,147500,254,2.15,34317,72500,5.9,30,147,-2.6,110,158,0,0,0,0,0,25.3,0,9957,0,0,3757,3,7649.46,0.1,"Rep"
"17",5547,5588,-0.7,5588,8.3,27.8,13.3,46.3,23.2,0.6,70.7,0.3,0.1,5,2,22,85.9,1.1,17.3,80.3,9.3,419,8.3,4024,70.4,2.1,106500,2056,2.72,19729,34710,24.2,99,434,-4.8,337,426,0,56.6,0,0,0,33.8,0,0,41553,7151,5429,0,145504.79,0,"Rep"
"18",55395,54571,1.5,54571,6,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,85,1.6,3.5,85.6,20.9,5922,26.2,22751,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2947,4067,15.2,0,1.3,0,0.7,31.7,0,0,598175,12003,88157,131,594.44,91.8,"Rep"
"19",200111,182265,9.8,182265,5.6,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83,82.1,3.6,5.5,89.1,27.7,19346,25.9,107374,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16508,19035,2.7,0.4,1,0,1.3,27.3,1410273,0,2966489,17166,436955,1384,1589.78,114.6,"Rep"
"20",22506,22919,-1.8,22915,5.3,21,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,86.6,1.2,2.1,77.5,12.1,1327,27.6,8978,79,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1126,1385,14.9,0,0,0,0,0,0,0,124707,5804,10757,19,622.58,36.8,"Rep"
"21",10764,10915,-1.4,10914,6.3,21.4,14.9,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,84.7,5.4,5.2,67.8,12.5,636,26.9,4461,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0,470,417,0,0,0,0,0,38.8,0,0,43810,3995,3670,1,622.81,17.5,"Dem"
"22",20296,20946,-3.1,20947,6.1,23.6,18,53.6,53.9,44,0.4,0.9,0,0.8,1.2,53.1,94.6,0.8,1.7,76.3,14,1497,24,9916,70.3,13.3,74700,8235,2.47,17403,29918,28.4,393,5711,2.7,1095,1769,0,0,3.3,0,0,0,399132,56712,229277,11326,28427,2,776.83,27,"Rep"
"23",115916,118586,-2.3,118572,5.7,22.2,16,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,83.6,2.4,4.5,78.6,16.1,11385,22.5,53289,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2311,34871,0.6,6352,8713,7.2,0,1.6,0,0.5,24.7,2679991,0,1542981,13678,186533,114,605.87,195.7,"Rep"
"24",34076,34170,-0.3,34215,5.9,21.4,18.3,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2,56.8,85.8,1.1,1.3,75.1,11.8,2691,24.6,16894,67.9,11.1,81200,13722,2.46,19291,32402,24.1,515,6431,-0.2,2354,1981,0,0,0,0,0,29.3,667283,0,264650,7620,23237,8,596.53,57.4,"Rep"
"25",26037,25986,0.2,25989,4.8,20.4,20.9,50.2,93,4.6,0.5,0.3,0,1.6,1.5,91.6,90.6,0.7,1.1,78.3,12.8,2174,26.9,16241,76.1,4.6,99400,11656,2.2,22030,34907,21.2,379,3864,5.5,1560,2180,0,0,0,0,0,14.5,307439,62293,186321,7613,13948,2,553.7,46.9,"Rep"
"26",24945,25840,-3.5,25833,5.6,22.6,18,52.8,54,44.2,0.4,0.5,0,0.8,1.3,53.1,92.5,0.3,1.3,78.3,11.2,1583,25.5,12583,72.9,6.8,85600,9631,2.63,18979,29357,29.3,586,6648,3.7,1640,2374,0,0,0,0,0,28.6,571454,85803,344311,13034,23596,11,1238.47,20.9,"Rep"
"27",15080,14972,0.7,14972,5.7,23.3,18.4,50.4,94.5,3.6,0.4,0.2,0.1,1.2,2.5,92.3,89.1,1.5,2.3,76,9,989,31.4,6690,77.6,6.3,100800,5601,2.64,19108,38019,18.4,152,1548,-4.8,930,1280,0,0,0,0,0,17.7,0,5888,133407,9080,4134,1,560.1,26.7,"Rep"
"28",50909,49948,1.9,49948,6.1,23.7,15.9,50.5,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3,83.3,5.1,7.5,82.4,22.5,6066,21.3,22852,69.9,13.5,131000,18820,2.65,23380,43768,18.6,954,12762,0.3,2602,4032,6,0,1.3,0,0.7,29.3,613758,131594,639623,13665,50080,58,678.97,73.6,"Rep"
"29",54543,54428,0.2,54428,5.7,21.7,18.5,51.8,80.8,16.3,0.6,0.5,0.1,1.7,2.6,78.8,87.2,2,2.6,83.5,17.7,4376,22.7,26192,72.1,12.3,99300,22260,2.42,21572,39077,17.9,1226,19820,6.2,3630,4757,0,0,0,0,0,22.8,2083166,351388,821284,15040,61935,143,592.62,91.8,"Rep"
"30",10886,11758,-7.4,11539,4.8,18.3,18.5,49.5,66.1,31.8,0.6,0.2,0.2,1.2,2.3,64.8,87.2,1.8,3.3,75,9.8,934,30.2,6458,83,3,75100,4506,2.42,18493,37277,20.9,93,992,3.9,367,545,0,0,0,0,0,0,89585,31647,20531,1904,575,0,650.93,17.7,"Rep"
"31",37914,37765,0.4,37765,5.9,22.1,19.8,51.6,84.3,13,0.6,0.5,0,1.6,1.6,83.1,86.7,1.4,2.1,78.4,14.2,3433,23.3,18778,75.1,6,88800,15041,2.48,20391,35869,20,834,10824,0.7,2201,2957,0,0,0,0,0,0,561168,338692,424873,11544,30271,8,1030.46,36.6,"Rep"
"32",13977,13906,0.5,13906,6.1,22.7,18,51.1,72,24,0.5,1.8,0.1,1.6,1.7,70.6,86.3,2.3,3.2,76.7,12.7,1098,30.3,6708,69.9,8,70800,5601,2.46,21343,36275,19.1,211,3139,1,811,1027,25.8,0,0,0,0,30.2,270809,131874,75456,5491,5640,2,608.84,22.8,"Rep"
"33",41711,43820,-4.8,43820,6.7,25.2,15.6,53.7,29,69.5,0.2,0.5,0,0.7,1,28.5,86.7,0.8,1.3,77.5,14.2,2897,22,20240,60.9,19.3,75700,16173,2.63,17245,26519,35.5,757,10420,-1,2179,3148,49.1,0,4.4,0,0,28.8,1174763,0,437359,10223,33708,17,978.7,44.8,"Dem"
"34",71065,71115,-0.1,71109,6.2,24.7,15.7,50.7,92.4,2.1,2.1,0.4,0.7,2.2,14.2,80.6,90.9,7.5,11.2,70.6,10.7,4371,23.3,31035,76.3,6.7,93400,24923,2.82,18149,37851,19.9,1082,16841,3.9,4679,5908,0,0.8,0.6,0,0,25.8,1831626,0,635185,9303,67915,31,777.09,91.5,"Rep"
"35",80977,79296,2.1,79303,5.9,23,14,51.5,76,21.2,0.4,0.7,0.1,1.6,2.7,73.7,85.4,2.1,3.6,86.6,21,8364,28.2,33326,75.5,8.1,144600,28324,2.62,23856,54766,13.4,1135,14056,-2.3,4850,6513,9.1,0,0,0,0,28.3,766344,104885,618313,7982,47884,259,618.49,128.2,"Rep"
"36",37733,38319,-1.5,38319,6.1,22,16.7,48.8,62.2,32.4,3.4,0.3,0.1,1.7,2.1,60.6,93.4,0.6,1.4,76.2,11.7,2995,23.5,16402,72.5,9,84100,13681,2.59,16540,30687,25.4,723,9977,1,2111,2765,9,3.2,0,0,0,21.3,665336,93125,379587,10089,31909,26,945.08,40.5,"Rep"
"37",103531,104427,-0.9,104430,5.7,22.1,17.3,51.6,81.2,15.5,0.5,0.8,0.3,1.6,3.7,78.4,85,2.2,3.1,81.8,14.8,8638,23.9,47505,72.4,12.1,1e+05,40217,2.55,20204,38013,19,2008,29796,-0.5,6988,9147,6.1,0,0,0,0.6,25.7,1252962,518424,1114841,10801,137966,79,534.99,195.2,"Rep"
"38",16874,17241,-2.1,17241,5.4,21.7,19.6,50.5,86.2,11.9,0.4,0.3,0,1.1,1.4,85,87.8,0.6,0.8,74.9,13.2,1221,27.5,8404,74.9,8.7,71400,6956,2.41,18494,33838,19.9,306,3323,-3.8,1073,1378,5.1,0,0,0,0,24.3,186247,22463,130362,7433,10869,0,627.66,27.5,"Rep"
"39",26712,26790,-0.3,26790,5.8,22.2,19.2,50.8,87.1,9.7,1,0.4,0.1,1.7,3.6,84.1,82.7,1.8,3,77.2,10.4,2336,25.6,12646,72.1,5.6,78100,10945,2.43,20199,35625,21.2,400,3791,2.8,1584,1736,0,0,0,0,0,0,153342,231687,170044,6612,10402,8,574.41,46.6,"Rep"
"40",8553,9045,-5.4,9045,5.9,23.3,17.9,52.5,18.5,80.5,0.2,0.2,0,0.6,1,17.9,92.4,0.2,1.4,76.2,12.8,502,28,4988,73.2,8.9,72700,3264,2.72,14930,24226,32.9,99,1379,16.3,506,657,60.3,0,0,0,0,36.1,0,0,33639,3697,1226,4,647.11,14,"Dem"
"41",104193,101547,2.6,101547,6.2,23.7,16.1,52.1,70,26.7,0.5,0.9,0.1,1.8,3.3,67.3,86.3,2.4,4.4,83.9,19.7,9254,20.8,46442,64.6,14.6,122300,39250,2.58,23316,40948,18,2702,43139,0.5,6819,10151,12.1,0,1.4,0,1.3,25.5,1310677,0,1909615,19608,177224,311,579.82,175.1,"Rep"
"42",660793,658350,0.4,658466,6.6,23.1,14.3,52.8,54,42.9,0.3,1.6,0.1,1.1,3.8,50.8,83.8,4.1,5.9,87.4,30,46613,23.4,305040,64.7,24.2,140800,259634,2.48,26906,45429,18,16232,319199,2,44987,55470,23.4,0.4,2.4,0,1.3,29.8,10260950,13756797,11066328,16730,1268154,2280,1111.28,592.5,"Dem"
"43",14086,14564,-3.3,14564,5,21.7,20.5,51.2,87.1,11.3,0.2,0.1,0,1.4,1.4,85.8,87.8,0.6,1,76.1,9.5,1127,25.7,7326,71.5,9,66800,6084,2.32,19026,36028,22.3,241,2943,4.6,932,1340,0,0,0,0,0,25.8,234908,0,70780,4887,6008,0,604.85,24.1,"Rep"
"44",93096,92709,0.4,92709,5.2,20.5,18.2,52.1,86.7,10.4,0.5,0.9,0.1,1.5,2.4,84.7,86.1,2.1,3,83.8,21.1,7000,24.5,44353,69.9,15.4,114300,38458,2.36,23510,42844,17.2,1967,25839,3.4,6576,8317,5.5,0,0.8,0,0,27.6,1083658,514555,1131585,12783,136587,54,667.7,138.8,"Rep"
"45",154255,140296,9.9,140247,5.8,21.6,10.3,50.7,70.9,23.7,0.4,3.3,0.1,1.5,3.9,67.7,76.4,5.1,6.9,86.7,32.5,10045,21.4,65566,61.7,23.8,146900,55864,2.49,23506,43542,22,2500,38782,3.4,9361,10319,16.2,0,2,0.4,0,28.2,0,0,1451634,11099,201205,943,607.54,230.8,"Rep"
"46",90787,82782,9.7,82782,5.9,23.4,13.8,49.7,82,13.5,0.8,1.4,0.2,2.1,5.8,77.2,88.1,4.3,6.4,81.5,22.7,6964,26.3,35445,76.6,8.9,134500,31794,2.56,25020,48619,14.7,1308,15305,1.3,5417,5914,4.8,1.1,0.8,0,1.3,25.8,947299,248292,723200,9785,68140,140,559.94,147.8,"Rep"
"47",10580,11299,-6.4,11299,6.7,23.1,17.4,52.3,25.8,72.9,0.3,0.2,0,0.8,1.2,25.3,90.4,0.2,0.7,73.9,14.4,626,30.4,5089,74.9,9.5,71400,4212,2.61,18368,26230,26.7,98,1835,-1.3,685,682,57.3,0,0,0,0,35.2,1156888,0,103636,8184,595,5,715.91,15.8,"Dem"
"48",20110,21029,-4.4,21027,6,23,18.6,53.2,47.4,51,0.3,0.3,0.2,0.8,2.4,45.6,87.4,0.7,1.2,83.7,17.4,1462,22.4,10207,71.3,9.1,89600,8464,2.42,22072,35079,24,478,5876,1.8,1019,1604,0,0,0,0,0,21.4,542135,64589,197221,9274,16684,0,976.88,21.5,"Dem"
"49",30271,30777,-1.6,30776,5.4,21.2,20.1,50.4,93.9,4.2,0.3,0.3,0.1,1.2,2.5,91.7,86.6,1,2.5,74.6,9.5,2287,24,14704,75.9,9.6,78700,12700,2.34,19576,32888,20.9,547,8006,5,1828,2224,0,0,0,0,0,0,794483,162519,209924,7116,19081,0,742.29,41.5,"Rep"
"50",21947,23070,-4.9,23068,5.5,23.4,17.9,52.6,55.5,41.1,1.3,0.4,0,1.6,1.2,54.7,91.8,0.9,1.3,76.1,10.6,1237,23.3,11274,74,6.8,76900,8333,2.71,15749,29203,28.6,393,5029,-1.8,1265,2257,23.6,0,0,0,0,24.5,1251911,92815,212618,9342,14796,0,1025.68,22.5,"Rep"
"51",226189,229363,-1.4,229363,6.8,24,13.3,52.6,38.9,56.7,0.3,2.6,0.1,1.3,3.4,36.3,78.1,4.3,5.7,85.6,31.5,20008,19.3,103434,61.4,22.4,122900,88844,2.49,24975,44790,21.2,5533,101517,1.2,15129,21463,35.6,0.7,2.4,0,1.3,30.9,7956627,3275567,3238175,14351,402861,734,784.25,292.5,"Dem"
"52",9826,10581,-7.1,10591,5.5,22.4,17.9,53.4,31.1,67.5,0.2,0.4,0.1,0.7,1.3,30.3,92.2,0.5,0.8,70.2,10.4,670,26.8,4691,67,11,58000,3400,2.84,13716,28209,25.6,125,1570,4,488,854,55.7,0,0,0,0,41.3,0,10360,34121,3181,2632,0,719.66,14.7,"Dem"
"53",20365,19746,3.1,19746,5.2,20.5,17.8,50.6,58.1,40.2,0.2,0.3,0.4,0.9,4.1,54.7,91.9,0.3,2.6,79.7,11,1610,29.3,9441,72,10.7,81900,7926,2.42,17153,28741,27.2,266,2707,-1.2,1073,1268,0,0,0,0,0,10,107619,36581,113222,5805,6302,3,881.41,22.4,"Rep"
"54",33389,32899,1.5,32899,5.7,19.4,14.1,51.9,58.5,36.9,0.7,2.2,0.1,1.6,2.2,57.1,79.3,4,5.8,81,23,2516,18.7,15807,57.8,18.5,101000,12959,2.4,19715,33090,27.6,628,11009,1.4,1970,2527,0,0,0,0,0,0,0,0,367926,12189,45692,44,672.09,48.9,"Rep"
"55",22539,22914,-1.6,22913,5.7,22,19.6,51.4,77.6,20.2,0.5,0.3,0.1,1.4,2.9,75,87.9,1.7,3.4,72.6,11.1,1598,26.8,11928,72.3,5.7,88600,9013,2.48,19830,35213,24.5,340,3481,0,1388,1550,7.1,0,0,0,0,0,401677,26751,161410,7209,9241,0,580.55,39.5,"Rep"
"56",206655,195218,5.9,195085,6,24.4,13,51.2,84,12.1,0.4,2.2,0,1.3,6,78.5,86.6,6,8.3,91.2,40.3,13991,29,83498,79,12.1,193000,74144,2.64,33313,68770,7.9,4845,76137,2.1,15634,18393,5.7,0.6,0,0,2,30.5,1723017,4385596,2520488,13737,301893,896,784.93,248.5,"Rep"
"57",81322,82291,-1.2,82291,5.5,22.3,16.1,51.4,65.2,32.5,0.4,0.4,0,1.5,2.3,63.4,85,1.6,2.8,78.9,13,6691,23.9,37177,71.2,11.6,92600,31486,2.5,19410,35439,22.9,1230,23763,4.8,3988,4872,0,0,1.5,0,0,26.6,9054200,0,730728,9113,67078,65,736.78,111.7,"Rep"
"58",41165,41618,-1.1,41616,5.8,21.1,19.6,51.4,70.6,27.3,0.4,0.5,0,1.2,2.3,68.9,86,1.9,2.9,79.2,16.3,3631,23.9,22029,72.2,10.1,94900,16373,2.49,21434,39130,19.8,721,10771,4.1,2478,3528,13,0,0,0,0,35,0,0,362304,8881,28222,16,716.52,58.1,"Rep"
"59",202212,194653,3.9,194656,6,21.1,11.7,51.7,66,31,0.3,1.5,0.1,1.1,3.3,63.2,81.2,3.5,5.8,86.6,27,12198,21.8,87795,64.4,27.9,153300,67882,2.76,22637,45408,18.9,4009,72917,3,11107,14729,13.3,0.9,0,0,0,22.5,10852479,760623,2445850,13664,327429,1375,1321.76,147.3,"Rep"
"60",65471,67023,-2.3,67023,5.8,22.1,18.2,51.4,91.3,6.4,0.5,0.4,0.1,1.3,2.3,89.4,85.3,1.2,1.4,76.4,10.5,5353,29.3,30669,75,5.7,82100,25751,2.55,20698,37566,20.9,1250,15669,4.1,3509,5365,0,0,0.6,0,0,23.8,314804,256377,903643,13162,73895,8,791.19,84.7,"Rep"
"61",24150,24483,-1.4,24484,5,20.9,20,50.9,96.3,1,0.9,0.3,0.2,1.4,2.9,94,83.4,1.1,1.8,72.7,10.4,1721,27,13406,74.9,5.3,82500,9489,2.52,18995,32900,24,439,6321,-4.3,1641,2380,0,0,0,0,0,19.6,797845,165638,166709,6853,16564,7,612.98,39.9,"Rep"
"62",18594,19018,-2.2,19019,6.8,23,17.5,51.6,72.6,24.5,0.4,1,0,1.5,3,70.2,81.6,2.2,2.8,84.1,12.4,1389,15.5,9441,67.5,9.3,75500,7883,2.36,23045,39633,15.8,527,8181,-0.9,1285,1791,0,0,0,0,0,29.4,1702196,134593,286337,14825,15452,18,988.77,19.2,"Rep"
"63",20948,21853,-4.1,21853,6.5,23.6,18.4,51.8,71.9,25.6,0.8,0.3,0.1,1.4,5.2,67.7,87.4,2.1,4.7,84.2,12.2,1370,18.5,10106,75.6,6.9,62500,8656,2.47,19761,35683,18.9,414,6845,-0.9,1078,1486,0,0,0,0,0,19.4,0,107302,170779,7673,15276,0,925.35,23.6,"Rep"
"64",40857,41513,-1.6,41513,4.4,17.8,30,51.8,96.8,0.4,0.7,0.6,0,1.5,2,95.2,84.9,1.9,2.5,87.6,16.5,5725,17.1,22633,76.5,9.4,120000,18155,2.24,21334,35343,15.5,1039,12604,-0.8,3042,4635,0,0,0.6,0,0,22.8,550061,0,486791,11633,60260,8,554.28,74.9,"Rep"
"65",37196,36903,0.8,36903,6,22.6,19.8,50.8,96.3,0.4,0.8,0.6,0.1,1.8,2.3,94.3,83.8,1.3,2.5,85.4,15.4,3280,19.7,16904,72.6,9.5,106400,15086,2.43,22160,38506,16.6,864,11897,-2.8,2722,3748,0,0,0,0,0,29.3,0,0,466894,12738,41893,12,590.23,62.5,"Rep"
"66",5202,5368,-3.1,5368,5,18.1,19.8,49.2,75.7,22,0.5,0.2,0,1.6,3.9,72.3,89.1,0,0.3,80.5,7.4,391,24.9,2886,80,2.5,58300,2046,2.55,17763,30980,14.9,66,435,-2.5,191,0,0,0,0,0,0,0,0,0,17859,3263,802,0,628.58,8.5,"Rep"
"67",27744,27446,1.1,27446,5.5,22.1,21.1,50.7,94.5,0.8,1.3,0.9,0.6,2,14.6,81.1,81,6.8,13.6,84.6,17.3,2961,19.1,13568,73.2,9.3,120000,11019,2.47,20637,36584,18.8,698,8142,-1.8,2444,3078,0,0,0,0,0,19.1,0,24110,265358,9728,53966,10,630.09,43.6,"Rep"
"68",11180,11800,-5.3,11800,6.7,23.2,19.2,50.8,43.5,54.6,0.5,0.5,0,0.9,5.6,39.2,90.1,3.3,5,74.2,12.6,905,21.4,5403,66.3,9.7,54700,4510,2.41,16538,26201,33,225,2207,-5.5,551,916,12.2,0,0,0,0,25.1,0,120552,67030,5446,6074,6,644.3,18.3,"Dem"
"69",22576,22995,-1.8,22995,4.9,19.2,16.1,52.1,73.4,24,0.6,0.7,0,1.4,4.4,69.6,81.2,2.6,5.2,86.2,21.4,1804,19.9,10435,63.5,17.1,86600,8341,2.41,17960,32721,24.3,498,6584,2.2,1246,1689,0,0,0,0,0,26.8,433867,0,247757,10461,32727,3,866.07,26.6,"Rep"
"70",23933,24552,-2.5,24552,5.8,21.6,16.6,52,61.1,36.2,0.5,0.9,0,1.3,2.7,59.4,82.1,2.9,4.7,85.4,20.3,1508,16.6,11562,68.9,11.6,78900,9449,2.43,19439,35128,25.4,596,7538,-2.8,1215,1859,0,0,0,0,0,23.1,1164275,0,197935,8143,21775,49,766.05,32.1,"Rep"
"71",17227,17866,-3.6,17870,6.9,24,17.6,51.4,74.9,22.9,0.3,0.5,0,1.3,1.9,73.3,88.6,0.7,1.2,79,11.4,1189,23.8,7888,65.4,10.4,78400,6818,2.57,18701,38085,17.4,359,4100,1.8,1381,1589,0,0,0,0,0,26.3,0,174748,185706,9970,12504,18,616.38,29,"Rep"
"72",7755,8116,-4.4,8116,5.5,22.3,20.5,51.7,56.4,41.3,0.5,0.2,0,1.5,2.7,54.1,88.1,2.5,3.4,82.1,10.2,444,20.2,4289,66.4,8.9,59200,3269,2.32,16838,28931,19.7,195,2305,-7.1,364,459,9.6,0,0,0,0,12.9,184521,10852,79676,9727,4648,1,667.39,12.2,"Rep"
"73",12264,13008,-5.7,13008,6.8,25.6,17.1,53.2,50.1,47.9,0.4,0.4,0.1,1,4.8,46.6,89.1,1.8,4.1,76.9,12.7,754,21.5,6306,55.9,17.3,55100,5305,2.39,19822,28680,30.1,312,3412,1,732,840,0,0,0,0,0,27.4,400820,230922,119201,8691,9790,7,768.15,16.9,"Dem"
"74",18622,18509,0.6,18509,6.3,22.4,16.1,51.2,69.6,28,0.4,0.9,0,1.1,2.9,67,85.9,1.9,3.4,81.3,19.1,983,20.8,8481,61.2,13.4,83300,7496,2.37,17057,31171,28.5,405,4478,-0.9,1006,1460,6.4,0,0,0,0,0,156135,87552,198993,10645,19657,4,828.36,22.3,"Rep"
"75",120768,113237,6.7,113237,6.6,23.9,11.2,51.1,84.6,11.3,0.7,1.2,0.1,2,4.1,81.1,81.8,2.9,4.8,89.4,27.2,8027,24.2,48849,65.2,19.6,137800,42413,2.62,24401,50314,14.6,2439,35228,-1.6,7738,9464,4.5,0,0.7,0,3.6,24.4,1587628,266098,1227650,11730,137881,341,647.88,174.8,"Rep"
"76",17805,18125,-1.8,18125,5.9,23.6,18,50.5,95.2,0.9,1.3,0.9,0.1,1.6,3,92.5,85,0.8,1.8,82.1,12.4,1643,25,8024,74,3.4,93000,6769,2.61,19135,36766,20.5,278,3424,1.1,1025,1139,0,0,0,0,0,19.6,327694,3128,140227,7748,10416,0,608.86,29.8,"Rep"
"77",12125,12245,-1,12245,4.8,20.4,25.4,50.5,96.8,0.6,0.7,0.3,0,1.6,1.2,95.8,83.2,1.1,1.5,83.7,10,1358,25.5,6762,78.1,4.3,88200,5140,2.35,19326,35522,18.7,162,1460,-4.5,790,1047,0,0,0,0,0,21.9,0,8179,42434,3598,5299,1,618.19,19.8,"Rep"
